Locatie;categorie;X;Y;WS code;TOX code;jaar;maand;Fase 1;Fase 2;Fase 3;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;anti-PR;antibio;PAK;PPARg;Nrf2;PXR;p53-;p53+;SRI 1.2;;;;;;;;;;
Polder Derde Bedijking;agrarisch;117682;468169;PDB008;PDBb;2016;mei;0.88;;;0.75;0.00;0.00;0.00;;0.00;0.67;3.33;0.00;;0.14;0.15;0.00;0.68;1.45;0.00;0.00;0.88;;;;;;;;;;
Oude haven Hilversum;haven;139650;470266;HIL086;HHI;2016;okt;0.87;;;1.50;0.05;0.00;0.04;0.18;0.00;3.45;0.00;0.00;;0.00;0.37;0.00;0.35;0.73;0.00;0.00;0.87;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;112421;472250;ZLP039;ZLP6b;2013;sept;0.86;;;0.00;0.13;0.05;0.59;;;0.40;1.05;0.00;;0.00;;3.04;;;0.00;;0.86;;;;;;;;;;
Jachthaven Vrijbuiter;haven;134712;468668;MUY001;;2017;mei;0.86;;;1.42;0.02;0.04;0.00;0.79;0.00;0.10;1.65;0.00;;0.00;0.19;0.62;0.16;0.81;0.15;0.01;0.86;;;;;;;;;;
Gooiergracht Eemmeer;RWZI;149422;476662;AW;EEMa;2015;juli;0.85;;;0.50;0.03;0.00;0.07;;0.00;3.29;0.46;0.73;;0.38;;0.46;0.43;0.45;0.28;;0.85;;;;;;;;;;
KWR punt Amstel boezem;stad&div;116996;471578;AMS003;;2018;juni;0.84;;;0.75;0.03;0.00;0.17;1.19;0.01;0.57;0.35;0.06;0.28;0.28;1.16;0.00;1.48;1.49;0.00;0.00;0.84;;;;;;;;;;
Econet Lutkemeerweg;akkerbouw;112794;485893;LMP002;;2017;okt;0.83;;;0.50;0.08;0.00;0.00;0.60;0.01;0.11;1.90;0.00;;0.01;0.35;0.00;0.68;2.91;0.06;0.17;0.83;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;110743;470119;ZLP001;ZLP2b;2013;sept;0.83;;;1.25;0.07;0.04;0.24;;;1.36;0.56;0.00;;0.00;;0.66;;;0.00;;0.83;;;;;;;;;;
Econet Lutkemeerweg;akkerbouw;112794;485893;LMP002;;2017;mei;0.82;;;0.86;0.05;0.00;0.04;;0.01;;;;;;0.93;0.00;0.70;2.15;0.03;0.03;0.82;;;;;;;;;;
Groot Wilnis, Vinkeveen;referentie;124140;469004;GWV046;;2019;sept;0.79;;;0.35;0.13;0.08;0.00;1.19;0.00;0.55;0.71;0.00;1.47;0.02;0.07;0.65;0.26;1.59;0.00;0.00;0.79;;;;;;;;;;
Amstel Uithoorn;RWZI;117350;471965;AW;AMUb;2018;sept;0.78;;;0.50;0.02;0.00;0.08;0.60;0.00;0.35;2.00;0.00;0.50;0.08;0.31;0.27;0.16;2.51;0.00;;0.78;;;;;;;;;;
KWR punt Vecht boezem;stad&div;130310;475777;VEC004;;2019;sept;0.77;;;0.60;0.04;0.00;0.04;0.18;0.00;0.33;0.15;0.00;0.33;0.06;0.85;0.62;0.27;3.17;0.05;0.00;0.77;;;;;;;;;;
