fewsid;code;naam;b_datum;e_datum;aquo;aquoid;WNA.oeverplantensoorten;datum;geslacht;author;beschermingsstatus.florafaunawet;WNA.habitatvoorkeur.vis;taxoncode;TWN.taxongroup;WNA.fytoplankton.groep;parentname;levensvorm;WNA.migratiegilde.vis;WNA.zuurstoftolerante.vis;WNA.kroossoorten;WNA.emerse.plantensoorten;check_2;TWN.taxonlevel;WNA.toxische.blauwalg;check1;WNA.reynolds.groep.cyanobacterieen;WNA.nederlandse.soortnaam;status;WNA.plantminnendheid.vis;WNA.fytoplankton.subgroep;refername;alleendrogeoever;WNA.onderwaterplantensoorten;WNA.soorten.met.drijvend.blad;WNA.stromingsgilde.vis;TWN.taxontype
2492;Bythotrephes;Bythotrephes;1-1-1981;;;;;25-11-2008;Bythotrephes;F. Leydig, 1860;;;BYOT;BRANC;;Cercopagidae;;;;;;;Genus;;;;;10;;;;;;;;ZOOPT
2493;Bythotrephes longimanus;Bythotrephes longimanus;1-1-1981;;;;;25-11-2008;Bythotrephes;F. Leydig, 1860;;;BYOTLONG;BRANC;;Bythotrephes;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
2494;Cabomba;Cabomba;1-1-1981;;;;0;27-9-2010;Cabomba;J.B.C.F. Aublet 1775;;;CABO;ANGIO;;Cabombaceae;;;;0;0;;Genus;;;;;10;;;;0;1;0;;MACFT
2495;Cabomba caroliniana;Cabomba caroliniana;1-1-1981;;;;0;27-9-2010;Cabomba;A. Gray 1837;;;CABOCARO;ANGIO;;Cabomba;;;;0;0;;Species;;;;;10;;;;0;1;0;;MACFT
2496;Cabombaceae;Cabombaceae;1-1-1981;;;;0;27-9-2010;Cabombaceae;;;;CABM;ANGIO;;Nymphaeales;;;;0;0;;Familia;;;;;10;;;;0;1;0;;MACFT
2497;Cachonellaceae;Cachonellaceae;1-1-1981;;;;;25-11-2008;Cachonellaceae;P.C. Silva 1980;;;CAHO;HITAX;Overige;Blastodiniales;;;;;;;Familia;0;;;;10;;Overig;;;;;;FYTPT
2498;Cactodera;Cactodera;1-1-1981;;;;;25-11-2008;Cactodera;Krall et Krall, 1978;;;CACT;;;Heteroderidae;;;;;;;Genus;;;;;10;;;;;;;;NEMTD
2499;Cactodera estonica;Cactodera estonica;1-1-1981;;;;;25-11-2008;Cactodera;Kirjanova et Krall, 1963;;;CACTESTO;;;Cactodera;;;;;;;Species;;;;;10;;;;;;;;NEMTD
2500;Cactodera weissi;Cactodera weissi;1-1-1981;;;;;25-11-2008;Cactodera;Steiner, 1949;;;CACTWEIS;;;Cactodera;;;;;;;Species;;;;;10;;;;;;;;NEMTD
2501;Caecidae;Caecidae;1-1-1981;;;;;27-11-2012;Caecidae;Gray, 1847;;;CAEC;MOGAS;;Neotaenioglossa;;;;;;;Familia;;;;;10;;;;;;;;MACEV
2502;Caecum;Caecum;1-1-1981;;;;;27-11-2012;Caecum;Fleming, 1813;;;CAEU;MOGAS;;Caecidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
2503;Caecum glabrum;Caecum glabrum;1-1-1981;;;;;27-11-2012;Caecum;(Montagu, 1803);;;CAEUGLAB;MOGAS;;Caecum;;;;;;;Species;;;;;10;;;;;;;;MACEV
2504;Caenidae;Caenidae;1-1-1981;;;;;1-10-2012;Caenidae;Newman, 1853;;;CAEN;INEPH;;Ephemeroptera;;;;;;;Familia;;;;;10;;;;;;;;MACEV
2505;Caenis;Caenis;1-1-1981;;;;;1-10-2012;Caenis;Stephens, 1835;;;CANI;INEPH;;Caenidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
2506;Caenis beskidensis;Caenis beskidensis;1-1-1981;;;;;1-10-2012;Caenis;Sowa, 1973;;;CANIBESK;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2507;Caenis horaria;Caenis horaria;1-1-1981;;;;;1-10-2012;Caenis;(Linnaeus, 1758);;;CANIHORA;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2508;Caenis lactea;Caenis lactea;1-1-1981;;;;;1-10-2012;Caenis;(Burmeister, 1839);;;CANILACT;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2509;Caenis luctuosa;Caenis luctuosa;1-1-1981;;;;;1-10-2012;Caenis;(Burmeister, 1839);;;CANILUCT;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2510;Caenis macrura;Caenis macrura;1-1-1981;;;;;1-10-2012;Caenis;Stephens, 1835;;;CANIMACR;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2511;Caenis pseudorivulorum;Caenis pseudorivulorum;1-1-1981;;;;;1-10-2012;Caenis;Keffermüller, 1960;;;CANIPSEU;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2512;Caenis pusilla;Caenis pusilla;1-1-1981;;;;;1-10-2012;Caenis;Navás, 1913;;;CANIPUSI;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2513;Caenis rivulorum;Caenis rivulorum;1-1-1981;;;;;1-10-2012;Caenis;Eaton, 1884;;;CANIRIVU;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2514;Caenis robusta;Caenis robusta;1-1-1981;;;;;1-10-2012;Caenis;Eaton, 1884;;;CANIROBU;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2515;Caenis strugaensis;Caenis strugaensis;1-1-1981;;;;;25-11-2008;Caenis;Ikonomov, 1961;;;CANISTRU;INEPH;;Caenis;;;;;;;Species;;;;;10;;;;;;;;MACEV
2516;Caenomorpha;Caenomorpha;1-1-1981;;;;;2-11-2009;Caenomorpha;M. Perty, 1852;;;CAEN;CILIO;;Caenomorphidae;;;;;;;Genus;;;;;10;;;;;;;;ZOOPT
