"EAG";"jaar";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"GAFNAAM";"KRW_SGBP3";"KRWmonitoringslocatie_SGBP3";"SGBP3_NAAM"
"2400-EAG-6";2017;33;0;0;0;33;0;33;0;14;0;0;43;0;57;14;0;14;"Polder de Rondehoep,Ouderkerk aan de Amstel";"";"";""
"2410-EAG-1";2019;0;0;0;0;1;96;0;3;27;23;0;33;5;23;15;0;0;"Polder Waardassacker en Holendrecht, Holendrechter polder";"";"";""
"2410-EAG-2";2019;0;0;0;0;0;86;0;14;0;0;17;17;0;33;50;0;0;"Polder Waardassacker en Holendrecht, stedelijkgebied (noord)";"";"";""
"2410-EAG-3";2019;0;0;0;0;3;90;0;6;43;5;0;5;33;38;10;0;0;"Polder Waardassacker en Holendrecht, stedelijkgebied (zuid)";"";"";""
"2410-EAG-4";2019;0;0;0;0;0;100;0;0;25;0;0;0;25;0;75;0;25;"Polder Waardassacker en Holendrecht, Slot polder";"";"";""
"2500-EAG-1";2019;4;20;0;0;14;52;0;11;7;2;6;26;2;8;46;4;14;"Polder Groot Wilnis Vinkeveen, Overig";"";"";""
"2500-EAG-2";2019;0;2;0;0;4;94;0;0;4;2;8;2;11;18;60;2;16;"Polder Groot Wilnis Vinkeveen, Reservaat Demmerik";"NL11_8_1";"NL11_TussenboezemVinkev";"Tussenboezem a"
"2500-EAG-3";2019;20;0;0;5;70;0;5;0;0;0;4;6;0;7;91;0;37;"Polder Groot Wilnis Vinkeveen, Kleine plas";"NL11_3_4";"NL11_VinkeveensePlassen";"Vinkeveense plassen"
"2500-EAG-4";2019;36;6;0;0;58;0;0;0;1;0;0;1;45;20;34;10;10;"Polder Groot Wilnis Vinkeveen, Zuidplas";"NL11_3_4";"NL11_VinkeveensePlassen";"Vinkeveense plassen"
"2500-EAG-5";2019;30;3;0;0;39;25;0;4;1;0;3;3;29;21;36;4;14;"Polder Groot Wilnis Vinkeveen, Noordplas";"NL11_3_4";"NL11_VinkeveensePlassen";"Vinkeveense plassen"
"2500-EAG-6";2018;0;4;0;0;5;70;0;21;10;1;0;41;5;1;43;5;33;"Polder Groot Wilnis Vinkeveen, Mijdrechtse  Bovenlanden";"NL11_8_3";"NL11_MijdrechtseBovenla";"Mijdrechtse Bovenlanden"
"2501-EAG-1";2019;0;0;0;0;0;96;0;4;30;17;2;2;41;37;19;7;2;"Polder Oukoop en Polder Groot Wilnis-Vinkeveen (oost), Oukoop";"NL11_2_10";"NL11_PolderDemmerik";"Polder Demmerik"
"2501-EAG-2";2019;0;1;0;0;0;97;0;2;9;6;0;8;8;10;63;1;25;"Polder Oukoop en Polder Groot Wilnis-Vinkeveen (oost), Polder Demmerik";"NL11_2_10";"NL11_PolderDemmerik";"Polder Demmerik"
"2502-EAG-1";2019;0;0;0;0;0;98;0;2;7;0;0;6;2;2;74;0;30;"Polder Groot Wilnis-Vinkeveen (midden), oost";"";"";""
"2502-EAG-2";2019;0;0;0;0;0;100;0;0;0;14;0;0;0;29;71;0;14;"Polder Groot Wilnis-Vinkeveen (midden), west";"";"";""
