HoortBijGeoobject.identificatie;GHPR;gebied;Gbdafk;Doel;bronddoel;HandelingsperspectiefWBP;Doel_2022
NL11_OvWa_2130-EAG-3_Noorder_;Overige waterflora-kwaliteit ;2130-EAG-3;NdrLgmrP,Uithr;0.53;WGP_Westeramstel;0.07;
NL11_VaartenWesteramstel;Fytoplankton-kwaliteit  ;2130-EAG-5;;0.6;KRW_2016;;
NL11_VaartenWesteramstel;Macrofauna-kwaliteit ;2130-KRW-1;;0.6;KRW_2016;;
NL11_VaartenWesteramstel;Overige waterflora-kwaliteit ;2130-KRW-1;;0.6;KRW_2016;;
OvWa_2140-EAG-1_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-1;UithrnPmid;0.44;WGP_Westeramstel;;
NL11_OvWa_2140-EAG-1_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-1;UithrnPmid;0.44;WGP_Westeramstel;;
OvWa_2140-EAG-2_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-2;UithrnP,UithrnPZ;0.44;WGP_Westeramstel;;
NL11_OvWa_2140-EAG-2_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-2;UithrnP,UithrnPZ;0.44;WGP_Westeramstel;;
OvWa_2140-EAG-3_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-3;Zijdelmeer;0.44;WGP_Westeramstel;0;
NL11_OvWa_2140-EAG-3_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-3;Zijdelmeer;0.44;WGP_Westeramstel;;
OvWa_2140-EAG-4_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-4;StdlkUithr-Z;0.44;WGP_Westeramstel;0.05;
NL11_OvWa_2140-EAG-4_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-4;StdlkUithr-Z;0.44;WGP_Westeramstel;;
OvWa_2140-EAG-5_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-5;UithrnP,NtrGebUithr;0.44;WGP_Westeramstel;0.05;
NL11_OvWa_2140-EAG-5_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-5;UithrnP,NtrGebUithr;0.44;WGP_Westeramstel;;
NL11_OvWa_2140-EAG-5_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-5;UithrnP,NtrGebUithr;0.44;WGP_Westeramstel;;
OvWa_2140-EAG-6_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-6;UithrnP,DKwkl;0.44;WGP_Westeramstel;0.05;
NL11_OvWa_2140-EAG-6_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-6;UithrnP,DKwkl;0.44;WGP_Westeramstel;;
OvWa_2150-EAG-2_Zuider_L;Overige waterflora-kwaliteit ;2150-EAG-2;ZLP,Kdlstrt;0.46;WGP_Westeramstel;0.05;
NL11_OvWa_2150-EAG-2_Zuider_L;Overige waterflora-kwaliteit ;2150-EAG-2;ZLP,Kdlstrt;0.46;WGP_Westeramstel;0.05;
OvWa_2150-EAG-3_Zuider_L;Overige waterflora-kwaliteit ;2150-EAG-3;ZLP,lnd;0.46;WGP_Westeramstel;0.05;
NL11_OvWa_2150-EAG-3_Zuider_L;Overige waterflora-kwaliteit ;2150-EAG-3;ZLP,lnd;0.46;WGP_Westeramstel;0.05;
OvWa_2160-EAG-1_Fred_Roe;Overige waterflora-kwaliteit ;2160-EAG-1;FredRoeskestr;;;;
NL11_OvWa_2160-EAG-1_Fred_Roe;Overige waterflora-kwaliteit ;2160-EAG-1;FredRoeskestr;;;;
OvWa_2200-EAG-1_Venserpo;Overige waterflora-kwaliteit ;2200-EAG-1;VserPvlktn;;;;
NL11_OvWa_2200-EAG-1_Venserpo;Overige waterflora-kwaliteit ;2200-EAG-1;VserPvlktn;;;;
OvWa_2210-EAG-1_Bijlmer_;Overige waterflora-kwaliteit ;2210-EAG-1;Blmr;;;;
NL11_OvWa_2210-EAG-1_Bijlmer_;Overige waterflora-kwaliteit ;2210-EAG-1;Blmr;;;;
NL11_Gaasperplas;Fytoplankton-kwaliteit  ;2220-EAG-1;Gaasperplas;0.6;KRW_2016;;
NL11_Gaasperplas;Macrofauna-kwaliteit ;2220-EAG-1;Gaasperplas;0.5;KRW_2016;;
NL11_Gaasperplas;Overige waterflora-kwaliteit ;2220-EAG-1;Gaasperplas;0.534167;KRW_2016;;
NL11_Gaasperplas;Vis-kwaliteit ;2220-EAG-1;Gaasperplas;0.6;KRW_2016;;
OvWa_2220-EAG-2_Zuid_Bij;Overige waterflora-kwaliteit ;2220-EAG-2;ZBlmr,Gsprdm;0.74;handelingsperspectief_score2008-2014;0.1;
NL11_OvWa_2220-EAG-2_Zuid_Bij;Overige waterflora-kwaliteit ;2220-EAG-2;ZBlmr,Gsprdm;0.7395;handelingsperspectief_score2008-2014;0.1;
OvWa_2220-EAG-3_Zuid_Bij;Overige waterflora-kwaliteit ;2220-EAG-3;ZBlmr,HgeDijk;0.773;handelingsperspectief_score2008-2014;0.1;
NL11_OvWa_2220-EAG-3_Zuid_Bij;Overige waterflora-kwaliteit ;2220-EAG-3;ZBlmr,HgeDijk;0.773;handelingsperspectief_score2008-2014;0.1;
OvWa_2230-EAG-1_Broekzij;Overige waterflora-kwaliteit ;2230-EAG-1;BrkZP,lnd;0.558333333;handelingsperspectief_score2008-2014;0.08;
NL11_OvWa_2230-EAG-1_Broekzij;Overige waterflora-kwaliteit ;2230-EAG-1;BrkZP,lnd;0.550369565;handelingsperspectief_score2008-2014;0.08;
OvWa_2230-EAG-2_Broekzij;Overige waterflora-kwaliteit ;2230-EAG-2;BrkZP,Abcoude;0.1767;handelingsperspectief_score2015-2017;0.08;
NL11_OvWa_2230-EAG-2_Broekzij;Overige waterflora-kwaliteit ;2230-EAG-2;BrkZP,Abcoude;0.177;handelingsperspectief_score2015-2017;0.08;
OvWa_2240-EAG-1_Holendre;Overige waterflora-kwaliteit ;2240-EAG-1;HBPZW;0.382;handelingsperspectief_score2008-2014;0.1;
NL11_OvWa_2240-EAG-1_Holendre;Overige waterflora-kwaliteit ;2240-EAG-1;HBPZW;0.381428571;handelingsperspectief_score2008-2014;0.1;
NL11_Ouderkerkerplas;Fytoplankton-kwaliteit  ;2250-EAG-1;Ouderkerkerplas;0.6;KRW_2016;;
NL11_Ouderkerkerplas;Macrofauna-kwaliteit ;2250-EAG-1;Ouderkerkerplas;0.5;KRW_2016;;
NL11_Ouderkerkerplas;Overige waterflora-kwaliteit ;2250-EAG-1;Ouderkerkerplas;0.504167;KRW_2016;;
NL11_Ouderkerkerplas;Vis-kwaliteit ;2250-EAG-1;Ouderkerkerplas;0.510083311;KRW_2016;;
OvWa_2250-EAG-2_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-2;PNBWKrtDwarswg;0.496;handelingsperspectief_score2008-2014;0.065;
NL11_OvWa_2250-EAG-2_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-2;PNBWKrtDwarswg;0.4962;handelingsperspectief_score2008-2014;0.065;
OvWa_2250-EAG-3_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-3;PNBWOdrkrkadAms;0.253;handelingsperspectief_score2015-2017;0.065;
NL11_OvWa_2250-EAG-3_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-3;PNBWOdrkrkadAms;0.253;handelingsperspectief_score2015-2017;0.065;
OvWa_2250-EAG-4_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-4;PNBWAMC;0.065;handelingsperspectief_score2008-2014;0.065;
NL11_OvWa_2250-EAG-4_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-4;PNBWAMC;0.065;handelingsperspectief_score2008-2014;0.065;
OvWa_2250-EAG-5_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-5;PNBWgolftrrn;0.1275;handelingsperspectief_score2008-2014;0.065;
NL11_OvWa_2250-EAG-5_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-5;PNBWgolftrrn;0.128;handelingsperspectief_score2008-2014;0.065;
OvWa_2250-EAG-6_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-6;PNBWrcrGbd;0.223;handelingsperspectief_score2008-2014;0.065;
NL11_OvWa_2250-EAG-6_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-6;PNBWrcrGbd;0.2225;handelingsperspectief_score2008-2014;0.065;
OvWa_2250-EAG-7_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-7;PNBWBllwkPdrN;0.148333333;handelingsperspectief_score2008-2014;0.065;
NL11_OvWa_2250-EAG-7_Polder_d;Overige waterflora-kwaliteit ;2250-EAG-7;PNBWBllwkPdrN;0.273583333;handelingsperspectief_score2008-2014;0.065;
OvWa_2270-EAG-1_Duivendr;Overige waterflora-kwaliteit ;2270-EAG-1;DVDPN-mid;0.5485;handelingsperspectief_score2008-2014;0.27;
NL11_OvWa_2270-EAG-1_Duivendr;Overige waterflora-kwaliteit ;2270-EAG-1;DVDPN-mid;0.557;handelingsperspectief_score2008-2014;0.27;
OvWa_2280-EAG-1_Venserpo;Overige waterflora-kwaliteit ;2280-EAG-1;VserP;;;;
NL11_OvWa_2280-EAG-1_Venserpo;Overige waterflora-kwaliteit ;2280-EAG-1;VserP;;;;
OvWa_2290-EAG-1_Polder_D;Overige waterflora-kwaliteit ;2290-EAG-1;PDeToekomst;0.435;handelingsperspectief_score2008-2014;0.1;
NL11_OvWa_2290-EAG-1_Polder_D;Overige waterflora-kwaliteit ;2290-EAG-1;PDeToekomst;0.435;handelingsperspectief_score2008-2014;0.1;
OvWa_2300-EAG-1_Overdiem;Overige waterflora-kwaliteit ;2300-EAG-1;OverdiemerP;0.475;handelingsperspectief_score2008-2014;0.075;
