monsterident;externereferentie;xcoormonster;ycoormonster;monsternemer;planvanaanpak;analist;bron;veldapparaat;bemonsteringsprotocol;analyseprotocol;analysecode;locatiecode;locatie namespace;locatie omschrijving;locatie x;locatie y;locatie z;locatie referentievlakzcoord;locatie KRW watertype;locatie EAG;locatie afaanvoergebied;locatie KRWmeetpuntlocatie;locatie morfologielocatie;locatie bodemsoortlocatie;locatie meetprogrammahistorie;locatie meetprogrammaactueel;locatie meetnethistorie;locatie meetnetactueel;compartiment;datum;fewsparameter;fewsparameternaam;fewsparametercategorie;fewsparametergrootheid;parametercode;grootheid;parameterfractie;parametergroep;parametertypering;biotaxonnaam;confertaxon;TWN naam;TWN taxontype;TWN taxonlevel;WNA nederlandse soortnaam;TWN taxongroup;beschermingsstatus florafaunawet;WNA oeverplantensoorten;WNA emerse plantensoorten;WNA soorten met drijvend blad;WNA kroossoorten;WNA onderwaterplantensoorten;WNA stromingsgilde vis;WNA migratiegilde vis;WNA habitatvoorkeur vis;WNA plantminnendheid vis;WNA reynolds groep cyanobacterieen;WNA zuurstoftolerante vis;WNA fytoplankton groep;WNA fytoplankton subgroep;WNA toxische blauwalg;gedrag;lengteklasse;levensstadium;levensvorm;verschijningsvorm;geslacht;limietsymbool;meetwaarde;eenheid;eenheidequivalent;eenheidreferentie;waardebewerkingsmethode;kwaliteitsoordeelcode;afronding;opmerkingmeting
BDM_388462;388462;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-09-30 11:30;Stot_mg/l_nf;Zwavel (totaal) na filtratie (mg/l);NUTRI;CONCTTE;Stot;CONCTTE;;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.7;mg/l;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388462;388462;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-09-30 11:30;X_CODNT_m;X_coordinaat (m);VELD;LENGTE;X_CODNT;LENGTE;;Ongedefinieerd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127959;m;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388462;388462;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-09-30 11:30;Y_CODNT_m;Y_coordinaat (m);VELD;LENGTE;Y_CODNT;LENGTE;;Ongedefinieerd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479600;m;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;DICHTHD_kg/l;Dichtheid (kg/l);ALG;DICHTHD;DICHTHD;DICHTHD;;Grootheid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.979;kg/l;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;Fe_mg/kg_dg;IJzer drooggewicht (mg/kg);IONEN;MASSFTE;Fe;CONCTTE;dg;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12777;mg/kg;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;Fe_mg/l_ng;IJzer natgewicht (mg/l);IONEN;CONCTTE;Fe;CONCTTE;ng;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800;mg/l;;;BER;3;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;GR_%_dg;Gloeirest van zwevende stof (%dg);ALG;MASSFTE;GR;MASSFTE;dg;Object;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;%;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;IR_%;Indamprest van vaste matrix (%);ALG;AFSDRDMT;IR;MASSFTE;;Object;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.1;%;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;MONSDTE_m;Monsterdiepte (m);MONSVAR;DIEPTE;MONSDTE;DIEPTE;;MonstervariabeleEcologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;m;;BODM;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;MONSDTE_m_E;Monsterdiepte eind (m);MONSVAR;;MONSDTE;DIEPTE;;MonstervariabeleEcologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10;m;;BODM;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;Ptot_gP/kg_dg;Fosfor (uitgedrukt in g fosfor/kg drooggewicht);NUTRI;MASSFTE;Ptot;CONCTTE;dg;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;g/kg;P;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;Ptot_mgP/l_ng;Fosfor (uitgedrukt in mg fosfor/l natgewicht);NUTRI;CONCTTE;Ptot;CONCTTE;ng;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;mg/l;P;;BER;3;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
BDM_388463;388463;127959;479600;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;GGP1003;NL11;Gaasperplas 6m;127959;479600;;;M20;2220-EAG-1;2220;NL11_3_2;plas;Veen;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-09-30 11:30;Stot_mg/kg_dg;Zwavel drooggewicht (totaal) (mg/kg);METAL;MASSFTE;Stot;CONCTTE;dg;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12999.999;mg/kg;;;;0;Ja;Individuele coordinaten niet vastgelegd i.v.m. diepte en wind. De happer ligt schuin onder de boot.
