locatie.EAG;locatie.afaanvoergebied;datum;jaar;Ca_mg/kg_dg_BS;Ca_mg/kg_dg_PW;DICHTHD_kg/l_BS;Fe_mg/kg_dg_BS;Fe_mg/l_ng_BS;Fe_ug/l_nf_PW;GR_%_dg_BS;IR_%_BS;MONSDTE_m_BS;MONSDTE_m_PW;MONSDTE_m_E_BS;MONSDTE_m_E_PW;MONSLTE_m_BS;MONSLTE_m_PW;NH4_mgN/l_nf_PW;PO4_mgP/l_nf_PW;Ptot_gP/kg_dg_BS;Ptot_mgP/l_nf_PW;Ptot_mgP/l_ng_BS;Ptot_mgPOlsen/kg_dg_BS;Ptot_mgPOlsen/l_ng_BS;S_mg/l_OPGLT_PW;SLIBDTE_m_BS;SO4_mg/l_PW;Stot_mg/kg_dg_BS;Stot_mg/l_PW;Stot_mg/l_nf_PW;Stot_mg/l_ng_BS;T_oC_BS;WATDTE_m_BS;WATDTE_m_PW;X_CODNT_m_BS;X_CODNT_m_PW;Y_CODNT_m_BS;Y_CODNT_m_PW
3300-EAG-1;3300;2013-08-30;2013;;;4.729625;14606.625;1562.5;197.5;49.5;11.2;0;0;-10;-10;0;0;;;0.35;0.005;43;;;;;;18625;1.355;1.355;1962.5;18.7;;;132560.5;132560.5;465825.248;465825.248
3300-EAG-1;3300;2013-09-05;2013;;;4.52066666666667;13547.6666666667;1550;1316.66666666667;61.3333333333333;15.7333333333333;0;0;-10;-10;;;;;0.3;0.005;45;;;;;;9133.33333333333;3.96666666666667;3.96666666666667;1085;19.7666666666667;;;134271.333333333;134271.333333333;467216.992;467216.992
3300-EAG-10;3300;2013-10-03;2013;;;3.48975;11672.25;1200;1925;64.5;14.15;0;0;-10;-10;283.933;283.933;;;1.05;0.195;111;;;;;;14399.999;1.35;1.35;1162.5;10.6;;;135762.496;135762.496;466124.496;466124.496
3300-EAG-11;3300;2013-10-03;2013;;;6.53516666666667;11247.4996666667;816.666666666667;1556.66666666667;68.6666666666667;20.3666666666667;0;0;-10;-10;;;;;0.666666666666667;0.883333333333333;62.3333333333333;;;;;;18173.3333333333;1.82;1.82;1278.33333333333;10.5666666666667;;;135366;135366;467771.338666667;467771.338666667
3300-EAG-3;3300;2013-08-29;2013;;;5.77883333333333;25320.1666666667;1900;90;39.6666666666667;7.46666666666667;0;0;-10;-10;;;;;0.933333333333333;0.303333333333333;69.6666666666667;;;;;;35333.3333333333;2.29;2.29;2583.33333333333;18.6666666666667;;;130716.333333333;130716.333333333;465790.325333333;465790.325333333
3300-EAG-4;3300;2013-08-29;2013;;;5.946;18812;1400;40;43;7.4;0;0;-10;-10;;;;;0.7;0.06;53.5;;;;;;24999.998;2.4;2.4;1850;18.7;;;131372;131372;465172;465172
3300-EAG-4;3300;2013-08-30;2013;;;3.48525;16476.5;1325;2252.5;48.5;8.95;0;0;-10;-10;;;;;1.7;0.42;164;;;;;;36000;1.275;1.275;3275;18.7;;;131079;131079;464400;464400
3300-EAG-5;3300;2013-09-05;2013;;;4.61983333333333;9821.16666666667;1100;483.333333333333;67;27.5666666666667;0;0;-10;-10;;;;;0.466666666666667;0.13;57.3333333333333;;;;;;9313.33333333333;2.73333333333333;2.73333333333333;946.666666666667;21.9333333333333;;;134160.669333333;134160.669333333;465816.341333333;465816.341333333
3300-EAG-6;3300;2013-09-05;2013;;;5.6805;19137.1665;1216.66666666667;33.3333333333333;36.3333333333333;6.2;0;0;-10;-10;;;;;1.16666666666667;0.226666666666667;72.3333333333333;;;;;;29333.3326666667;1.5;1.5;1800;21.1;;;134328.336;134328.336;464950.997333333;464950.997333333
3300-EAG-7;3300;2013-09-06;2013;;;4.26966666666667;22710.3325;1383.33333333333;1800;43.3333333333333;6.63333333333333;0;0;-10;-10;;;;;1.16666666666667;0.206666666666667;68.3333333333333;;;;;;29999.9996666667;1.83333333333333;1.83333333333333;1683.33333333333;21;;;134434.666666667;134434.666666667;464560.661333333;464560.661333333
