pol;EAG;GAF;KRW;watertype;bodem;a_tot;a_drain;a_verhard;a_gemengd;a_water;a_bodemhoogte;a_slootdiepte;wp_meting_gm3;wp_meting_mgm2d;jaar;maand;seiz;w_peil;w_volume;w_debiet;w_berging;w_sluitfout;w_maalstaat;w_i_neerslag;w_i_kwel;w_i_verhard;w_i_riol;w_i_drain;w_i_uitspoel;w_i_afstroom;w_i_inlaat1;w_i_inlaat2;w_i_inlaat3;w_i_inlaat4;w_i_inlaat5;w_o_verdamping;w_o_wegzijg;w_o_intrek;w_o_uitlaat1;w_o_uitlaat2;w_o_uitlaat3;w_o_uitlaat4;w_o_uitlaat5;wp_min_neerslag;wp_min_kwel;wp_min_verhard;wp_min_riol;wp_min_drain;wp_min_uitspoel;wp_min_afstroom;wp_min_inlaat1;wp_min_inlaat2;wp_min_inlaat3;wp_min_inlaat4;wp_min_inlaat5;wp_inc_neerslag;wp_inc_kwel;wp_inc_verhard;wp_inc_riol;wp_inc_drain;wp_inc_uitspoel;wp_inc_afstroom;wp_inc_inlaat1;wp_inc_inlaat2;wp_inc_inlaat3;wp_inc_inlaat4;wp_inc_inlaat5;namen;versie;naam;KRWnaam;agrarisch;p_i_redDAW;wp_min_sum;wp_inc_sum;watdteF;watdte;kPDitch;wp_tot_sum;PvskPDitch;P.load_year..mgP.m2.d.;Troebel.naar.helder..mg.P.m2.d.;Helder.naar.troebel..mg.P.m2.d.;lake.ditch.vollenweider;PvskPLake
3230-EAG-2_F002_Wijde_blik.xlsx;3230-EAG-2;;NL11_3_7;M20;;;;;;;;;;;;;;;;;;;;;;;;;;;Inlaat N201 (Hilversumsch Kanaal);Inlaat Moleneind;Inlaat3;Inlaat4;Inlaat Peilbeheer;;;;Uitlaat N201 (Hilversumsch Kanaal);Uitlaat Moleneind;uitlaat3;uitlaat4;;;;;;;;;Inlaat N201 (Hilversumsch Kanaal);Inlaat Moleneind;Inlaat3;Inlaat4;Inlaat Peilbeheer;;;;;;;;Inlaat N201 (Hilversumsch Kanaal);Inlaat Moleneind;Inlaat3;Inlaat4;Inlaat Peilbeheer;;;;;;;;;;;;;;;;;;
3230-EAG-2_F002_Wijde_blik.xlsx;3230-EAG-2;;NL11_3_7;M20;;401.3297;0;16.7363;0;293.0454114;-18;16.78;;;2013;6.5;;-1.226181986;49154904;4.880600056;54.83557965;-6.32E-14;0;7393.794687;10.30165793;310.4265638;0;0;468.7431138;0;0;32.80407443;0;0;6086.304416;5811.877125;5968.844508;1199.062575;1377.425885;0;0;0;0;0.151385302;0.000703076;0.009533809;0;0;0.095973476;0;0;0.000917924;0;0;0.207691514;0.050461767;0.000703076;0.211862429;0;0;0.095973476;0;0;0.000291049;0;0;0.080999683;;;;;0;0.009597348;0.466205101;0.440291481;(0.5,0.7];1.8;;0.906496582;;0.399699097;0.324;0.647661607;vollenweider;0.617141873
3230-EAG-3_F002-PKH.xlsx;3230-EAG-3;;NL11_6_4;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;Inlaat gemaal Sniep (Anko Zuid);Inlaat H. Kanaal;Inlaat Kortenhoefse dijk 2;Inlaat4;Inlaat Peilbeheer;;;;Uitlaat Kortenhoefse dijk 2;Uitlaat H.Kanaal;Uitlaat duiker Korremof;uitlaat4;;;;;;;;;Inlaat gemaal Sniep (Anko Zuid);Inlaat H. Kanaal;Inlaat Kortenhoefse dijk 2;Inlaat4;Inlaat Peilbeheer;;;;;;;;Inlaat gemaal Sniep (Anko Zuid);Inlaat H. Kanaal;Inlaat Kortenhoefse dijk 2;Inlaat4;Inlaat Peilbeheer;;;;;;;;;;;;;;;;;;
3230-EAG-3_F002-PKH.xlsx;3230-EAG-3;;NL11_6_4;M27;VEEN;335.3158;0;15.454485;0;110.8153889;-2.2;0.98;;;2013;6.5;;-1.232202881;1072468.142;14.14582643;-0.571683502;7.93E-14;0;2795.970188;32.6045567;286.6513312;0;0;476.5825576;0;4221.853226;7007.974572;854.1161458;0;0;2197.766622;5083.570089;7415.396271;0;978.4479101;0;0;0;0.151385302;0;0.023280719;0;0;0.258041358;0;0.666716365;0.632400856;0.077075591;0;0;0.050461767;0.005884482;0.517349321;0;0;0.258041358;0;0.247637463;0.246636312;0.034684017;0;0;;;;;0;0.025804136;1.808900191;1.36069472;(0.5,0.7];1;7.46;3.169594912;0.424878674;3.169594912;3.95;5.68;lake;0.558027273
3300-EAG-9-10-11-12.xlsx;3300-EAG-10;;NL11_6_1;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3300-EAG-9-10-11-12.xlsx;3300-EAG-11;;NL11_6_1;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3300-EAG-9-10-11-12.xlsx;3300-EAG-12;;NL11_6_1;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3300-EAG-9-10-11-12.xlsx;3300-EAG-9;;NL11_6_1;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3300-EAG-9-10-11-12.xlsx;3300-EAG-10;;NL11_6_1;M10;VEEN;1546.2026;15.5987784;0;0;108.234182;-3.1;1.99;;;2014;6.5;;-1.100149098;2164522.265;17.83365432;45.49719477;-15155.70597;0;2424.469355;0;0;0;104.8552776;10697.50431;4577.937607;0;0;0;0;1497.343329;1878.241496;541.17091;1772.488696;0;0;0;0;15155.70597;0;0;0;0;0.038751262;1.976733064;0.845931945;0;0;0;0;0.083005755;0.044800438;0;0;0;0.058126892;1.976733064;0.845931945;0;0;0;0;0;;;;;1;0.197673306;2.944422026;2.925592339;(0.3,0.5];0.4;14.03;5.870014365;0.41839019;;;;;
3300-EAG-9-10-11-12.xlsx;3300-EAG-11;;NL11_6_1;M10;VEEN;1546.2026;15.5987784;0;0;108.234182;-3.1;1.99;;;2014;6.5;;-1.100149098;2164522.265;17.83365432;45.49719477;-15155.70597;0;2424.469355;0;0;0;104.8552776;10697.50431;4577.937607;0;0;0;0;1497.343329;1878.241496;541.17091;1772.488696;0;0;0;0;15155.70597;0;0;0;0;0.038751262;1.976733064;0.845931945;0;0;0;0;0.083005755;0.044800438;0;0;0;0.058126892;1.976733064;0.845931945;0;0;0;0;0;;;;;1;0.197673306;2.944422026;2.925592339;(0.3,0.5];0.4;14.03;5.870014365;0.41839019;;;;;
3300-EAG-9-10-11-12.xlsx;3300-EAG-12;;NL11_6_1;M10;VEEN;1546.2026;15.5987784;0;0;108.234182;-3.1;1.99;;;2014;6.5;;-1.100149098;2164522.265;17.83365432;45.49719477;-15155.70597;0;2424.469355;0;0;0;104.8552776;10697.50431;4577.937607;0;0;0;0;1497.343329;1878.241496;541.17091;1772.488696;0;0;0;0;15155.70597;0;0;0;0;0.038751262;1.976733064;0.845931945;0;0;0;0;0.083005755;0.044800438;0;0;0;0.058126892;1.976733064;0.845931945;0;0;0;0;0;;;;;1;0.197673306;2.944422026;2.925592339;(0.3,0.5];0.45;14.03;5.870014365;0.41839019;;;;;
3300-EAG-9-10-11-12.xlsx;3300-EAG-9;;NL11_6_1;M10;VEEN;1546.2026;15.5987784;0;0;108.234182;-3.1;1.99;;;2014;6.5;;-1.100149098;2164522.265;17.83365432;45.49719477;-15155.70597;0;2424.469355;0;0;0;104.8552776;10697.50431;4577.937607;0;0;0;0;1497.343329;1878.241496;541.17091;1772.488696;0;0;0;0;15155.70597;0;0;0;0;0.038751262;1.976733064;0.845931945;0;0;0;0;0.083005755;0.044800438;0;0;0;0.058126892;1.976733064;0.845931945;0;0;0;0;0;;;;;1;0.197673306;2.944422026;2.925592339;(0.5,0.7];1.1;8.23;5.870014365;0.713245974;;;;;
3360-EAG-10_F002.xlsx;3360-EAG-10;;NL11_6_5;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;overschot GMP;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;vraag GMP;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;overschot GMP;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;overschot GMP;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3360-EAG-10_F002.xlsx;3360-EAG-10;;NL11_6_5;M27;VEEN;52.68761;0;0;0;32.53631;-2.1;0.8;0.055397299;0.11828922;2012;6.5;;-1.303327816;259207.7314;18.54759455;4.290764329;-675.2863336;0;703.5147746;0;0;0;0;3.799182566;0;2461.181101;0;0;0;2866.207801;523.3545753;3081.188557;1678.067618;81.09654092;0;0;0;675.2863336;0;0;0;0;0;0.002335349;0;0.378220687;0;0;0;0.440462948;0;0;0;0;0;0;0;0;0;0;0;0.880925895;;;;;0;0.000233535;0.821018984;0.880925895;(0.5,0.7];1.1;8.385;1.701944879;0.202974941;1.701944879;7.79;8.88;lake;0.191660459
3360-EAG-11_F002_MCED.xlsx;3360-EAG-11;;NL11_3_8;M20;;;;;;;;;;;;;;;;;;;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3360-EAG-11_F002_MCED.xlsx;3360-EAG-11;;NL11_3_8;M20;;85.69161;0;0;0;60.82671;-14.1;12.8;0.053970878;0.226675048;2014;6.5;;-1.284691058;7795130.806;7.507165027;0.363271034;-1670.648005;-765.8185163;1482.245989;2198.885567;0;0;0;765.1336057;19.05987714;0;0;0;0;101.0364622;1211.875625;912.40065;5.981974891;0;0;0;0;2436.466521;0;0.54225;0;0;0;0.251578165;0.006266943;0;0;0;0;0.004983163;0;0;0;0;0;0;0;0;0;0;0;0.016610542;;;;;0;0.025157817;0.805078271;0.016610542;(0.5,0.7];1.8;;0.821688813;;0.611391717;0.361;0.72151989;vollenweider;0.847366407
3360-EAG-12_F001.xlsx;3360-EAG-12;;NL11_6_5;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;Molenpolder;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;Molenpolder;molenpolder klein;uitlaat3;uitlaat4;;;;;;;;;Molenpolder;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;Molenpolder;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3360-EAG-12_F001.xlsx;3360-EAG-12;;NL11_6_5;M27;VEEN;20.74691;0;0;0;4.28991;-1.9;0.8;0.058744394;8.765226403;2012.5;6.5;;-1.069999835;35606.26007;154.1735005;0.904946559;-4853.407578;0;94.53905116;0;0;0;0;149.1890699;7.874408578;4788.24922;0;0;0;1574.052668;71.41165172;35.25115517;115.5097382;898.547857;640.6813842;0;0;4853.407578;0;0;0;0;0;1.391069462;0.073422599;3.348496276;0;0;0;4.219577027;0.044075074;0;0;0;0;0;0;7.813157977;0;0;0;3.669197415;;;;;0;0.139106946;9.032565365;11.52643047;(0.3,0.5];0.5;20.515;20.55899583;1.002144569;;;;;
3360-EAG-13_F001.xlsx;3360-EAG-13;;NL11_6_5;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3360-EAG-13_F001.xlsx;3360-EAG-13;;NL11_6_5;M27;VEEN;29.95341;0;0;0;13.14461;-1.8;0.52;0.194803934;0.062530246;2012.5;6.5;;-1.294929629;66389.53055;8.506536126;0.159141809;-40.28239406;0;289.6748317;0;0;0;0;43.06211019;3.884295817;0;0;0;0;781.5297606;218.8107236;440.6212906;418.5957318;0;0;0;0;40.28239406;0;0;0;0;0;0.131041119;0.011820193;0;0;0;0;0.683747349;0.044075074;0;0;0;0;0;0;0;0;0;0;0.45721888;;;;;0;0.013104112;0.826608662;0.501293954;(0.5,0.7];1.3;6.37;1.327902616;0.208461949;1.327902616;7.79;8.88;lake;0.149538583
3360-EAG-14_F002.xlsx;3360-EAG-14;;NL11_6_5;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;uit Taartpunt;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;naar Taartpunt;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;uit Taartpunt;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;uit Taartpunt;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3360-EAG-14_F002.xlsx;3360-EAG-14;;NL11_6_5;M27;VEEN;46.02031;0;0;0;12.75071;-1.2;0.45;0.035621237;0.66406866;2012;6.5;;-0.729168294;60034.38536;50.12088996;3.279665295;-2331.174682;0;275.7016045;0;0;0;0;28.13096492;1.998251796;2950.635711;0;0;0;3134.302796;205.0983168;736.991038;1567.972616;1552.812341;0;0;0;2331.174682;0;0;0;0;0;0.044124547;0.003134338;9.256380896;0;0;0;1.474883891;0.043244902;0;0;0;0;0;0;0;0;0;0;2.458139818;;;;;0;0.004412455;10.77852367;2.50138472;(0.5,0.7];0.7;16.835;13.27990839;0.788827347;;;;;
3360-EAG-16_MolenpolderNatuur_tm2017.xlsx;3360-EAG-16;;NL11_6_5;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;Westbroek - offline REEKS;Inlaat2;Inlaat3;Inlaat4;inlaat peilbeheer;;;;naar Westbroek - offline REEKS;naar Gagelweg (volkstuinen);uitlaat3;uitlaat4;;;;;;;;;Westbroek - offline REEKS;Inlaat2;Inlaat3;Inlaat4;inlaat peilbeheer;;;;;;;;Westbroek - offline REEKS;Inlaat2;Inlaat3;Inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
3360-EAG-16_MolenpolderNatuur_tm2017.xlsx;3360-EAG-16;;NL11_6_5;M27;VEEN;140.9634021;0;3.98594468;0;42.8298996;-2;0.89;0.030954716;0.305782894;2013.5;6.5;;-1.077543204;395087.3197;19.09157946;32.03945222;-4682.430333;0;942.2949653;0;64.23857554;0;0;1121.780685;9.76E-07;4913.162977;0;0;0;1135.427111;743.0351159;672.4294238;1658.755529;180.8139706;271.4793938;0;0;4682.430333;0;0;0.013498682;0;0;1.571491918;1.37E-09;1.72070085;0;0;0;0.265101511;0.044001736;0;0.299970703;0;0;1.571491918;1.37E-09;0;0;0;0;0;;;;;0;0.157149192;3.570792963;1.915464359;(0.5,0.7];1;8.51;5.486257322;0.644683587;5.486257322;7.79;8.88;lake;0.61782177
3360-EAG-17_Westbroek_tm2017.xlsx;3360-EAG-17;;NL11_6_5;M27;VEEN;230.7320782;0;6.132202775;0;36.90657089;-2;0.89;0.062663673;0.889368866;2013.5;6.5;;-1.082715185;338538.3707;17.39493116;0.517197395;-5272.051868;0;811.9765925;479.7854216;98.8282585;0;0;4848.468356;9.76E-07;0;0;0;0;180.8139706;640.2741644;0;508.0637645;0;0;0;0;5272.051868;0;0.065;0.024100162;0;0;3.284285317;1.59E-09;0;0;0;0;0.048992352;0.044001736;0.26;0.535559149;0;0;3.284285317;1.59E-09;0;0;0;0;0;;;;;1;0.328428532;3.422377832;4.123846204;(0.3,0.5];0.4;14.02;7.546224036;0.538247078;7.546224036;7.32;8.48;lake;0.88988491
3360-EAG-17_Westbroek_tm2017.xlsx;3360-EAG-17;;NL11_6_5;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4000-EAG-1-3-4-6-7-8_F004.xlsx;;4000;NL11_2_2;M6a;ZAND;370.252725;0;0;0;100.252725;-2.1;1.7;0.161635553;3.618868942;2013.5;6.5;;-0.262532612;1842111.128;68.83354134;24.71097018;-8515.802073;-13571.72263;2280.705208;0;0;0;0;3596.568156;0;21686.86003;4682.705804;1560.085566;13559.85087;15989.01775;1790.669007;20050.545;862.1291654;3031.323379;689.4261488;13501.80932;1367.077618;22087.5247;0;0;0;0;0;0.107625049;0;9.950807434;0.560508152;0.108930695;0.676283406;1.594871137;0.045499117;0;0;0;0;0;0;4.326438015;0.840762228;0.155615278;0.676283406;1.594871137;;;;;1;0.010762505;12.99902587;7.63946918;(0.5,0.7];0.7;11.905;20.63849505;1.733598912;;;;;
4000-EAG-1-3-4-6-7-8_F004.xlsx;;4000;NL11_2_2;M6a;ZAND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4210-EAG-1-2-3-5_HAP_west2015.xlsx;;;NL11_6_2;M27;VEEN;217.93902;0;21.7970453;0;102.261464;-2.6;1.19;0.0693149;0.85756034;2012.5;6.5;;-1.394600856;1232658.812;13.51182412;0.609370463;-713.9557588;-5940.40573;2572.451778;255.65366;404.999052;0;0;1292.055391;23.28610861;425;60;218.4645819;7767.686262;797.7923291;2022.275552;3067.84392;2073.517573;0;0;0;0;6654.361488;0.012577816;0.05;0.035643842;0;0;0.252696439;0.004554229;0.058184186;0.023469251;0.042726668;1.519181509;0.109220934;0.050311264;0.05;0.118812807;0;0;0.252696439;0.004554229;0.124680398;0.026402908;0.042726668;1.519181509;0.234044859;;;;;0;0.025269644;2.108254875;2.423411081;(0.5,0.7];1.2;7.325;4.531665957;0.618657468;4.531665957;2.1;3.76;lake;1.205230308
4210-EAG-1-2-3-5_HAP_west2015.xlsx;;;NL11_6_2;M27;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8070-GAF_F003.xlsx;;8070;NL11_3_1;M20;;1474.094295;49.3354;646.395046;0;167.185249;-18.1;16;0.443989491;5.565180936;2012.5;6.5;;-2.052763952;26828611.54;26.24496579;0.835855339;6480.321534;-36681.90934;4417.447816;0;12876.5983;0;584.1208033;6303.27163;91.08579747;5576.077432;5184;2197.290639;6502.617732;145.2012492;3304.516517;8359.26245;822.9827177;1190.197762;0;0;0;30201.58781;0;0;11.55299141;0;0.104815611;1.131069577;0.016344587;9.338752613;0.930225609;0.210285599;1.555787432;0.013896082;0;0;6.161595416;0;0.24456976;2.639162347;0.038137371;0.833817198;4.651128043;0.394285498;1.555787432;0.026055154;;;;;0;0.113106958;24.85416852;16.54453822;(0.5,0.7];1.5;;41.39870674;;;;;;
8070-GAF_F003.xlsx;;8070;NL11_3_1;M20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAF-3300-F002.xlsx;;3300;NL11_5_1;M27;ZAND;3449.9948;0;267.9832846;0;1629.2312;-3;1.89;0.036849493;0.098712444;2014;6.5;;-1.110814095;30779206.19;5.967550906;626.4024958;6608.07154;-36828.01161;40235.22326;0;4884.460897;0;0;11568.75361;5943.755845;2670.393531;246.5937386;11638.87829;324;19713.14208;32793.50195;30792.46968;1410.455515;0;0;994.1965488;1641.039976;30219.94007;0;0;0.089940474;0;0;0.142014879;0.072963933;0.008195257;0.006054236;0.285751422;0.003579602;0.072597954;0.049391668;0;0.089940474;0;0;0.142014879;0.072963933;0.016390513;0.006811015;0.142875711;0.000994334;0;;;;;0;0.014201488;0.681097758;0.521382528;(0.5,0.7];1;2.56;1.202480286;0.469718862;1.202480286;0.07;0.35;lake;3.43565796
GAF-3300-F002.xlsx;;3300;NL11_5_1;M27;ZAND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
