CODE;BUITENGEBRUIKDATUM;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;OPMERKING;MOTIVATIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
GWV901;;2010_Waterproef-Polder Oukoop-36;NL11;;;;126228;467906;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV902;;2010_Waterproef-Polder Oukoop-37;NL11;;;;126096;467937;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV903;;2010_Waterproef-Polder Oukoop-38;NL11;;;;127173;470008;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV904;;2010_Waterproef-Polder Oukoop-39;NL11;;;;126823;469963;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV905;;2010_Waterproef-Polder Oukoop-40;NL11;;;;126922;470071;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV906;;2010_Waterproef-Polder Oukoop-41;NL11;;;;126939;470114;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV907;;2010_Waterproef-Polder Oukoop-42;NL11;;;;126961;470227;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV908;;2010_Waterproef-Polder Oukoop-43;NL11;;;;127193;470329;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV909;;2010_Waterproef-Polder Oukoop-44;NL11;;;;127427;470256;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV910;;2010_Waterproef-Polder Oukoop-45;NL11;;;;126575;469321;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV911;;2010_Waterproef-Polder Oukoop-46;NL11;;;;126591;465220;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2510-EAG-1;NL11_2_11
GWV912;;2010_Waterproef-Polder Oukoop-47;NL11;;;;126785;469785;;;lijnvormig;Eigenaar WG van Vliet, oukoop 18, 3626 AW Niewer ter Aa wenst dag van te voren aankondiging van veldbezoek mobiele nummer is 06-22493292;;dag van te voren bezoek kenbaar maken;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV913;;2010_Waterproef-Polder Oukoop-48;NL11;;;;126501;468665;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV914;;2010_Waterproef-Polder Oukoop-49;NL11;;;;126322;468594;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;2501;2501-EAG-2;NL11_2_10
GWV915;;2010_Waterproef-Polder Oukoop-50;NL11;;;;126716;468625;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV916;;2010_Waterproef-Polder Oukoop-51;NL11;;;;126604;468547;;;lijnvormig;;;;MACFTGBD_historieVIS;;KRW_Onderzoek;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV917;;2010_Waterproef-Polder Oukoop-52;NL11;;;;127247;468861;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV918;;2010_Waterproef-Polder Oukoop-53;NL11;;;;127241;468638;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV919;;2010_Waterproef-Polder Oukoop-54;NL11;;;;126630;467978;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV920;;2010_Waterproef-Polder Oukoop-55;NL11;;;;126336;468023;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV921;;2010_Waterproef-Polder Oukoop-56;NL11;;;;126365;468064;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV922;;2010_Waterproef-Polder Oukoop-57;NL11;;;;126316;468180;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV923;;2010_Waterproef-Polder Oukoop-58;NL11;;;;127145;468231;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV924;;2010_Waterproef-Polder Oukoop-59;NL11;;;;127337;468292;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Zware klei;47;2501-EAG-1;NL11_2_10
GWV925;;2010_Waterproef-Polder Oukoop-60;NL11;;;;126125;468061;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV926;;2010_Waterproef-Polder Oukoop-61;NL11;;;;126054;468334;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV927;;2010_Waterproef-Polder Oukoop-62;NL11;;;;126228;468505;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV928;;2010_Waterproef-Polder Oukoop-63;NL11;;;;126150;468726;;;lijnvormig;;;Van te voren, een (week en de betreffende dag) contact opnemen met de heer Zagt.  Hij heeft laten weten toegang te willen verlenen. bij problemen contact Arie Bunschoten.;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-2;NL11_2_10
GWV929;;2010_Waterproef-Polder Oukoop-64;NL11;;;;127808;470471;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV930;;2010_Waterproef-Polder Oukoop-65;NL11;;;;127958;470045;;;lijnvormig;;;;DIEPTE-FYCHEM_FYTOPLANKTONABUNDANTIE_MACFTGBD;;Evaluatie_KRW;;FYCHEM_HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV931;;2010_Waterproef-Polder Oukoop-66;NL11;;;;127800;470204;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2501-EAG-1;NL11_2_10
GWV932;;bovenstrooms stuw, zuid oost van GWV en polder groot en klein oud aa, potegense zuwe;NL11;;;;125554;465248;;;lijnvormig;;;;GWV-WGP;;Watergebiedsplannen;;FYCHEM;;Veen;47;2510-EAG-1;NL11_2_11
GWV933;;Nieuw mp bij NVO;NL11;GWV933P;;;116655;471049;;;lijnvormig;;;;MACFTGBD_MACFTKRW_MIJDRBOVENLANDEN-BC;;KRW_Onderzoek;;BODCHEM_HYBI;;Veen;47;2500-EAG-6;NL11_8_3
GWV933P;;parent;NL11;;;;116655;471049;;;lijnvormig;;;;;;;;;;Veen;47;2500-EAG-6;NL11_8_3
GWV934;;Nieuw mp bij NVO;NL11;GWV934P;;;116637;470280;;;lijnvormig;;;;MACFTGBD_MACFTKRW_MIJDRBOVENLANDEN-BC;;KRW_Onderzoek;;BODCHEM_HYBI;;Veen;47;2500-EAG-6;NL11_8_3
GWV934P;;parent;NL11;;;;116637;470280;;;lijnvormig;;;;;;;;;;Veen;47;2500-EAG-6;NL11_8_3
GWV935;;Nieuw mp bij NVO;NL11;;;;116520;470157;;;lijnvormig;;;;MACFTKRW;;KRW;;HYBI;;Veen;47;2500-EAG-6;NL11_8_3
GWV936;;Nieuw mp bij NVO;NL11;;;;116285;469743;;;lijnvormig;;;;MACFTKRW;;KRW;;HYBI;;Veen;47;2500-EAG-6;NL11_8_3
GWV937;;Nieuw mp bij NVO;NL11;GWV937P;;;116202;469639;;;lijnvormig;;;;MACFTGBD_MACFTKRW_MIJDRBOVENLANDEN-BC;;KRW_Onderzoek;;BODCHEM_HYBI;;Veen;47;2500-EAG-6;NL11_8_3
GWV937P;;parent;NL11;;;;116202;469639;;;lijnvormig;;;;;;;;;;Veen;47;2500-EAG-6;NL11_8_3
GWV938;;Nieuw mp bij NVO;NL11;GWV938P;;;116021;469370;;;lijnvormig;;;;MACFTGBD_MACFTKRW_MIJDRBOVENLANDEN-BC;;KRW_Onderzoek;;BODCHEM_HYBI;;Veen;47;2500-EAG-6;NL11_8_3
GWV938P;;parent;NL11;;;;116021;469370;;;lijnvormig;;;;;;;;;;Veen;47;2500-EAG-6;NL11_8_3
GWV939;;mp oevervegetatie vinkeveense plassen Nvin1;NL11;;;;125300;472030;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-5;NL11_3_4
GWV940;;mp oevervegetatie vinkeveense plassen Nvin2;NL11;;;;124980;472872;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-5;NL11_3_4
GWV941;;mp oevervegetatie vinkeveense plassen Nvin3;NL11;;;;124113;472337;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-5;NL11_3_4
GWV942;;mp oevervegetatie vinkeveense plassen Nvin4;NL11;;;;124153;473238;;;plas;;;;MACFTKRW_VISKRW;;KRW;;HYBI;;Water;47;2500-EAG-5;NL11_3_4
GWV943;;mp oevervegetatie vinkeveense plassen Nvin5;NL11;;;;124881;473715;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-5;NL11_3_4
GWV944;;mp oevervegetatie vinkeveense plassen Nvin6;NL11;;;;125483;473736;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-5;NL11_3_4
GWV945;;mp oevervegetatie vinkeveense plassen Nvin7;NL11;;;;126001;473482;;;plas;;;;MACFTKRW;;KRW;;HYBI;;Water;47;2500-EAG-5;NL11_3_4
GWV946;;mp oevervegetatie vinkeveense plassen Nvin8;NL11;;;;126283;473064;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-5;NL11_3_4
GWV947;;mp oevervegetatie vinkeveense plassen Zvin1;NL11;;;;126716;471947;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-4;NL11_3_4
GWV948;;mp oevervegetatie vinkeveense plassen Zvin2;NL11;;;;127144;470622;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-4;NL11_3_4
GWV949;;mp oevervegetatie vinkeveense plassen Zvin4;NL11;;;;126021;470309;;;plas;;;;MACFTKRW;;KRW;;HYBI;;Water;47;2500-EAG-3;NL11_3_4
GWV950;;mp oevervegetatie vinkeveense plassen Zvin5;NL11;;;;125483;470266;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-3;NL11_3_4
GWV951;;mp oevervegetatie vinkeveense plassen Zvin6;NL11;;;;125440;469989;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-3;NL11_3_4
GWV952;;mp oevervegetatie vinkeveense plassen Zvin7;NL11;;;;124933;470231;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-3;NL11_3_4
GWV953;;mp oevervegetatie vinkeveense plassen Zvin9;NL11;;;;124838;470275;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-4;NL11_3_4
GWV954;;mp oevervegetatie vinkeveense plassen Zvin10;NL11;;;;125420;470323;;;plas;;;;MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT;;KRW;;HYBI;;Water;47;2500-EAG-4;NL11_3_4
