GAFIDENT;GAFNAAM;OPMERKING;Opp EAG (m²);Opp water (m²);Opp land (m²);Omtrek water (m);Opp water 0-1 m diep (m²);Opp water 1-8 m diep (m²);Opp water > 8 m diep (m²);Plas;watertype;type;vijver?;opmerking;Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;StedelijkLandelijk
2630-EAG-2;Noordse Buurt en Westveense Polder, Noordse dorp;KRW Overig water;624,254;37,210;587,044;18,129;0;0;0;;M10;sloot;;;22176.875;564335.625;37741.5625;0.0355254;Landelijk
6480-EAG-3;Hoeker- en Garstenpolder, oost;KRW Overig water;1,494,322;60,833;1,433,489;48,574;0;0;0;;M1a;sloot;;;52814.3125;1377100.188;64420.4375;0.035343022;Landelijk
6450-EAG-1;Aetsveldse Polder west, bemalen;KRW Overig water;2,470,457;109,991;2,360,466;81,541;0;0;0;;M1a;sloot;;;85903;2274584.813;110007.5;0.03477157;Landelijk
4140-EAG-3;Keverdijkse Overscheense Polder,;KRW Overig water;595,519;51,576;543,943;29,274;0;0;0;;M8;sloot;;;20545.1875;521149.4375;53832;0.034499192;Landelijk
4200-EAG-2;Heintjesrak- en Broekerpolder, Broekerpolder;KRW Overig water;1,239,632;41,492;1,198,140;37,110;0;0;0;;M8;sloot;;;42721.75;1149927.188;47002.5;0.034462712;Landelijk
2250-EAG-1;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Ouderkerkerplas;NL11_3_3;928,499;730,052;198,447;12,044;13,961;277,404;438,036;Ouderkerkerplas;M20;plas;;;31628.25;165709.6875;731179.5625;0.034063171;Landelijk
3300-EAG-9;Muyeveld, Kromme Rade;NL11_6_1;1,676,520;313,097;1,363,423;51,290;311,384;1,714;0;Vuntus;M10;sloot;;;56965.9375;1303761;315800.0625;0.033978539;Landelijk
2140-EAG-5;Uithoornsche Polder, Natuurgebied Uithoorn;KRW Overig water;228,892;59,967;168,924;10,059;0;0;0;;M8;sloot;;;7730.4375;161197.875;59965.0625;0.033773094;Landelijk
2501-EAG-3;Polder Oukoop en Polder Groot Wilnis-Vinkeveen (oost), Polder Demmerik - KRW Waterlichaam;NL11_2_3;47,308;27,226;20,082;3,770;0;0;0;;M10;sloot;;;1590.5;18316.4375;27402.875;0.033618819;Landelijk
3303-EAG-1;Gansenhoef west, Gansenhoef west;KRW Overig water;364,634;11,001;353,633;7,866;0;0;0;;M1a;sloot;;;12227.375;340955.9375;11450.375;0.033533311;Landelijk
6100-EAG-2;Noorder IJ Polder, Noorder IJplas;NVT;116,947;81,468;35,479;1,216;0;0;0;;M20;plas;;;3904.25;31578.8125;81467.0625;0.033383889;Landelijk
2400-EAG-1;Polder de Rondehoep, bemalen gebied;KRW Overig water;2,970,109;152,680;2,817,429;105,248;0;0;0;;M8;sloot;;;98872.6875;2714063.188;157211.0625;0.03328882;Landelijk
3370-EAG-2;Polder Achtienhoven, Gagelbos;KRW Overig water;582,636;91,488;491,148;24,925;0;0;0;;M3;canal;;;19044.125;472102.8125;91489.6875;0.03268611;Landelijk
3210-EAG-1;Horn- en Kuyerpolder, bemalen gebied;KRW Overig water;1,296,596;55,498;1,241,099;51,931;0;0;0;;M1a;sloot;;;42170.75;1198944.375;55501.5625;0.032523683;Landelijk
2500-EAG-2;Polder Groot Wilnis Vinkeveen, Reservaat Demmerik;NL11_8_1;2,003,546;587,559;1,415,987;99,842;0;0;0;;M10;sloot;;;63271.875;1342625.188;597657.375;0.031579813;Landelijk
3340-EAG-1;Polder Mijnden, Polder Mijnden west;KRW Overig water;2,128,122;170,180;1,957,943;85,335;0;0;0;;M8;sloot;;;67133.5625;1883518.5;175748.8125;0.031571452;Landelijk
2400-EAG-4;Polder de Rondehoep, noord-oost;KRW Overig water;2,233,170;111,959;2,121,211;74,296;0;0;0;;M8;sloot;;;69736.3125;2048807;114658.75;0.03122705;Landelijk
6060-EAG-1;W.H. Vliegenbos, W.H. Vliegenbos;KRW Overig water;254,007;18,594;235,413;7,796;0;0;0;;M8;sloot;;;7795.9375;226002.8125;18540.6875;0.030894646;Landelijk
3300-EAG-2;Muyeveld, Nieuwe Polderplas;NL11_5_1;199,005;183,607;15,398;2,487;0;0;0;;M27;plas;;;6058.8125;9299.4375;183649.6875;0.03044508;Landelijk
3360-EAG-9;Polder Maarsseveen-Westbroek, Kleine Maarsseveensche Plas;KRW Overig water;271,056;213,951;57,105;3,068;14,043;78,515;121,379;Kleine Maarsseveense Plas;M20;plas;;;8233.75;48871.5;213949.4375;0.030376711;Landelijk
3200-EAG-1;Spiegelpolder, Spiegel- en Blijkpolderplas;NL11_3_6;3,213,868;2,554,705;659,164;34,790;222,569;575,475;1,757,577;Spiegelplas;M20;plas;;;96775.6875;562412.6875;2554709.125;0.030111628;Landelijk
3300-EAG-1;Muyeveld, Loosdrechtsche Plassen;NL11_5_1;11,303,488;9,864,444;1,439,044;95,854;830,926;9,050,561;0;Loosdrechtse Plas;M27;plas;;;336033.75;1100255.625;9867243.063;0.029728207;Landelijk
2400-EAG-2;Polder de Rondehoep, zuid-west;KRW Overig water;3,336,778;240,411;3,096,368;136,189;0;0;0;;M8;sloot;;;96702.8125;2992018.188;248102.4375;0.0289805;Landelijk
3230-EAG-2;Polder Kortenhoef, Wijde Blik;NL11_3_7;4,015,325;2,930,739;1,084,586;54,234;187,962;1,016,190;1,606,746;Wijde Blik;M20;plas;;;116074.8125;966266.9375;2933019.438;0.028907689;Landelijk
4100-EAG-1;Noordpolder beoosten Muiden, bemalen;KRW Overig water;3,469,100;76,626;3,392,474;56,337;0;0;0;;M8;sloot;;;97761.8125;3237246;134164.0625;0.028180158;Landelijk
3230-EAG-3;Polder Kortenhoef, Wijde Gat;NL11_6_4;3,353,057;1,109,248;2,243,809;103,714;716,352;392,897;0;Kortenhoefse Plas;M27;plas;;;89068.8125;2149177;1114842.375;0.026563218;Landelijk
3320-EAG-2;Loenderveen, Terra Nova;NL11_5_4;989,952;625,061;364,890;23,894;268,790;356,250;0;Terra Nova;M27;plas;;;26217.3125;337552;626190.875;0.026483199;Landelijk
3110-EAG-4;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Aalscholverkolonie;KRW Overig water;457,842;31,756;426,086;7,892;0;0;0;;M8;sloot;;;11884.125;413498.8125;32464.4375;0.025956521;Landelijk
9040-EAG-1;Buiksloterweg, Buiksloterweg;KRW Overig water;8,999;2,604;6,395;304;0;0;0;;M11;kleine plas;vijver;EJ: stedelijk;233.0625;6161.75;2604.1875;0.025898711;Stedelijk
1010-EAG-1;Erasmuspark, Erasmuspark;KRW Overig water;112,020;18,956;93,064;2,299;0;0;0;;M10;sloot;vijver;EJ: stedelijk;2854.4375;90021.5;19146.9375;0.025480845;Stedelijk
2000-EAG-6;Boezem Amstelland-West, West;NL11_1_1;1,367,947;1,081,854;286,093;52,323;0;0;0;;M6b;canal;;;34800.8125;249608.5;1083540.938;0.025440116;Landelijk
2625-EAG-1;Blokland, Blokland;KRW Overig water;2,878,299;451,815;2,426,484;131,294;0;0;0;;M8;sloot;;;71289.75;2350092.188;456938.0625;0.024767833;Landelijk
3100-EAG-10;Naardermeer, Meerlanden;KRW Overig water;348,969;27,169;321,800;14,505;0;0;0;;M8;canal;;krw watertype aangepast, klopte niet;8530;312337.8125;28105.9375;0.024443099;Landelijk
3311-EAG-9;Bethunepolder,;KRW Overig water;677,405;47,729;629,676;33,316;0;0;0;;M8;sloot;;;16382;602437.75;58585.5;0.024183456;Landelijk
3210-EAG-2;Horn- en Kuyerpolder, gestuwde gebieden;KRW Overig water;445,556;19,963;425,593;18,533;0;0;0;;M1a;sloot;;;10692.75;414905.125;19968.1875;0.023998125;Landelijk
3110-EAG-2;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Hilversumse Bovenmeent;KRW Overig water;871,799;77,739;794,060;28,197;0;0;0;;M25;kleine plas;vijver;;20889.3125;771355.4375;79570.3125;0.023960715;Landelijk
4230-EAG-1;Hilversumse Ondermeent, Hilversumse Ondermeent;KRW Overig water;1,277,624;52,813;1,224,812;37,461;0;0;0;;M8;sloot;;;30144.625;1192446.75;55051.4375;0.023593938;Landelijk
3300-EAG-5;Muyeveld, Breukeleveensche of Stille Plas;NL11_5_1;2,478,462;1,867,175;611,287;32,684;669,061;1,198,114;0;Stille Plas;M27;plas;;;58366.75;552927.4375;1867170.125;0.023549562;Landelijk
2510-EAG-1;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Heicop & Geer;KRW Overig water;8,629,928;1,036,047;7,593,880;372,401;0;0;0;;M10;sloot;;;201771.125;7366690.313;1061480.313;0.023380358;Landelijk
2600-EAG-8;Polder Zevenhoven, Kousmolentocht/Jonge Zevenhovenseweg;KRW Overig water;3,588,483;220,583;3,367,899;108,738;0;0;0;;M1a;sloot;;;80957.5625;3273150.25;234385.875;0.022560319;Landelijk
3370-EAG-4;Polder Achtienhoven,  Het Achteraf;KRW Overig water;3,429,948;214,730;3,215,218;155,983;0;0;0;;M1a;sloot;;;77379.625;3141786.75;210781.875;0.022559998;Landelijk
3370-EAG-1;Polder Achtienhoven, Gagelweg/Kooidijk;KRW Overig water;4,052,530;403,401;3,649,129;206,623;0;0;0;;M1a;sloot;;;90780.625;3557554.063;404185.4375;0.02240103;Landelijk
3360-EAG-15;Polder Maarsseveen-Westbroek, Taartpunt;KRW Overig water;1,425,219;126,811;1,298,408;63,695;0;0;0;;M8;sloot;;;30323.5;1265349.438;129538.0625;0.021276499;Landelijk
3350-EAG-1;Polder Breukelen-Proostdij, bemalen gebied;KRW Overig water;2,919,517;183,489;2,736,028;111,861;0;0;0;;M8;sloot;;;60291.8125;2655527.375;192256.8125;0.020732544;Landelijk
2400-EAG-7;Polder de Rondehoep, bemalen gebied - KRW Waterlichaam;NL11_2_5;129,602;39,808;89,794;9,024;0;0;0;;M10;sloot;;;2644.625;86814.8125;40145.3125;0.020405309;Landelijk
2502-EAG-1;Polder Groot Wilnis-Vinkeveen (midden), oost;KRW Overig water;2,747,269;366,428;2,380,841;106,424;0;0;0;;M10;sloot;;;55915.3125;2319839.563;371520.75;0.020353004;Landelijk
3311-EAG-1;Bethunepolder,;KRW Overig water;2,528,251;228,605;2,299,646;111,024;0;0;0;;M8;sloot;;;48608.375;2223107.938;256514.0625;0.019226244;Landelijk
2600-EAG-5;Polder Zevenhoven, Odesssa_Driesprong_De Jonker;KRW Overig water;2,266,435;64,790;2,201,644;36,204;0;0;0;;M1a;sloot;;;42417.1875;2155210.125;68819.3125;0.018715282;Landelijk
4210-EAG-2;Hollands Ankeveensche Polder, Ankeveensche Plassen HAP noord;NL11_6_2;715,623;200,029;515,594;22,832;108,254;91,928;0;Hollandsch Ankeveensche Plas;M27;plas;;;13393;500595.625;201650.5625;0.018714738;Landelijk
3370-EAG-3;Polder Achtienhoven, Kerkeindse Polder;KRW Overig water;2,461,778;226,501;2,235,277;129,621;0;0;0;;M1a;sloot;;;44607.5;2183712.938;233463.8125;0.018119988;Landelijk
3320-EAG-4;Loenderveen, Loenderveensche Plas;NL11_5_3;2,374,817;2,119,843;254,974;9,499;105,057;2,052,663;0;Loenderveense Plas;M27;plas;;;42612.0625;211765;2120456.188;0.017943181;Landelijk
2560-EAG-1;Noorderpolder of Botshol (Nellestein), agrarisch;KRW Overig water;527,081;43,052;484,029;22,573;0;0;0;;M8;sloot;;;9366.8125;473839.875;43880.5625;0.017770896;Landelijk
2505-EAG-1;Veldhuiswetering, Veldhuisweg;KRW Overig water;4,709,823;689,609;4,020,214;181,085;0;0;0;;M10;sloot;;;80967.5;3929506.625;699365.6875;0.017191137;Landelijk
4140-EAG-5;Keverdijkse Overscheense Polder, Stadzicht;NVT;115,910;4,112;111,798;3,990;0;0;0;;M8;sloot;;;1941;109623.5;4347.4375;0.016745471;Landelijk
3360-EAG-10;Polder Maarsseveen-Westbroek, Maarsseveense Zodden;NL11_6_5;527,966;325,563;202,404;20,653;276,740;48,760;0;Molenpolder;M27;plas;;;8817.5;193579.5625;325569.375;0.016700872;Landelijk
3100-EAG-4;Naardermeer, Veertigmorgen;NL11_4_1;1,148,256;208,562;939,694;17,233;151,022;15,016;0;Naardermeer;M14;plas;;;18762.9375;918188.375;211320.9375;0.016340147;Landelijk
2600-EAG-4;Polder Zevenhoven, Bloklandseweg;KRW Overig water;1,187,052;32,305;1,154,748;16,843;0;0;0;;M1a;sloot;;;19339.0625;1134734;32988.375;0.016291543;Landelijk
2600-EAG-9;Polder Zevenhoven, Groene Jonker;KRW Overig water;1,130,573;810,194;320,380;16,843;0;0;0;;M1a;sloot;;;17769.125;301541.75;811265.6875;0.01571687;Landelijk
2400-EAG-8;Polder de Rondehoep, noord-oost - KRW Waterlichaam;NL11_2_5;51,671;21,979;29,692;4,896;0;0;0;;M10;sloot;;;798.0625;28701.5;22171.6875;0.015445001;Landelijk
3360-EAG-12;Polder Maarsseveen-Westbroek, Nederreinsche Vaart;NL11_6_5;206,569;42,854;163,715;13,864;0;0;0;;M27;sloot;;dit is een krw watertype die als plas gezien wordt, maar een afwijkend gebied binnen een krw waterlichaam;3126.1875;160580.6875;42854.0625;0.015134456;Landelijk
4000-EAG-2;'s-Gravelandsche vaartboezem, Cruijsbergen;NL11_2_2;441,308;39,744;401,565;7,804;0;0;0;;M6a;canal;;;6633.625;394327.625;40365.3125;0.015031103;Landelijk
3230-EAG-5;Polder Kortenhoef, Hilversumsch Kanaal plas/dras;NL11_6_4;909,771;258,873;650,898;37,721;247,848;11,025;0;Kortenhoefse Plas;M27;plas;;;13533.125;634629.1875;261616.75;0.014875177;Landelijk
2110-EAG-4;Middelpolder onder Amstelveen, Natuurgebied;KRW Overig water;328,213;72,650;255,563;14,748;0;0;0;;M10;sloot;;;4868;249822.75;73527.875;0.014831578;Landelijk
6000-EAG-8;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, tbv drinkwater;KRW Overig water;18,846;11,655;7,191;1,121;0;0;0;;NVT;canal;;;253.75;6931.375;11660.5625;0.013464619;Landelijk
2501-EAG-2;Polder Oukoop en Polder Groot Wilnis-Vinkeveen (oost), Polder Demmerik;KRW Overig water;5,939,919;672,439;5,267,479;241,168;0;0;0;;M8;sloot;;;75485.0625;5176840.625;687625;0.012708028;Landelijk
3201-EAG-2;Stichtsch Ankeveensche Polder, Ankeveensche Plassen SAP zuid;NL11_6_3;543,642;277,725;265,917;24,834;158,601;119,130;0;Stichtsch Ankeveensche Plas;M27;plas;;;6718.5625;259192.8125;277735.125;0.012358329;Landelijk
3301-EAG-1;Gansenhoef oost, Gansenhoef;KRW Overig water;797,212;118,034;679,178;34,281;0;0;0;;M3;canal;;;9725.125;664867;121486.8125;0.012216282;Landelijk
3201-EAG-1;Stichtsch Ankeveensche Polder, Ankeveensche Plassen SAP noord;NL11_6_3;2,017,839;984,909;1,032,930;53,945;346,904;638,156;0;Stichtsch Ankeveensche Plas;M27;plas;;;24185.0625;1008596.938;985082.875;0.011985472;Landelijk
6440-EAG-3;Polder Breukelerwaard West,;KRW Overig water;280,693;8,001;272,692;7,702;0;0;0;;M1a;sloot;;;3319.125;268476.25;8897.375;0.011824762;Landelijk
3370-EAG-5;Polder Achtienhoven,  Korssesteeg;KRW Overig water;224,924;12,850;212,073;10,230;0;0;0;;M1a;sloot;;;2641.5;209436.8125;12845.9375;0.011743954;Landelijk
6000-EAG-6;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, haven;KRW Overig water;13,670;12,764;906;492;0;0;0;;NVT;canal;;;157.4375;706.625;12806.375;0.011516639;Landelijk
3360-EAG-18;Polder Maarsseveen-Westbroek, Polder het Huis te Hart;KRW Overig water;969,558;129,951;839,607;47,273;0;0;0;;M10;sloot;;;10559.625;826257.5;132740.5625;0.010891178;Landelijk
3311-EAG-3;Bethunepolder,;KRW Overig water;924,142;22,694;901,448;19,997;0;0;0;;M8;sloot;;;9910.4375;872728.8125;41503.1875;0.010723929;Landelijk
2550-EAG-2;Noorderpolder of Botshol (zuid en west), Botshol Midden;NL11_7_1;401,283;96,947;304,336;13,188;83,623;13,605;0;Botshol;M27;plas;;;4078.9375;299381.75;97825.375;0.010164663;Landelijk
2510-EAG-2;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Armenland;KRW Overig water;29,734;2,599;27,136;2,139;0;0;0;;M1a;sloot;;;280.25;26274.5625;3179.375;0.009425178;Landelijk
3311-EAG-7;Bethunepolder,;KRW Overig water;375,596;41,597;333,999;20,256;0;0;0;;M8;sloot;;;3532.0625;326971.5;45091.625;0.009403908;Landelijk
3300-EAG-4;Muyeveld, Kievitsbuurt zuid;NL11_5_1;1,121,603;875,411;246,192;58,441;582,352;294,007;0;Kievitsbuurt;M27;plas;;;9952.3125;230316.0625;881338.75;0.008873261;Landelijk
6540-EAG-2;Aetsveldse Polder Oost, blokbemaling;KRW Overig water;591,821;23,813;568,008;17,774;0;0;0;;M1a;sloot;;;5014.8125;563003;23810.25;0.008473428;Landelijk
3100-EAG-3;Naardermeer, Groote Meer ZO;NL11_4_1;1,355,738;531,200;824,538;23,425;436,312;36,523;0;Naardermeer;M14;plas;;;11412.6875;810202.9375;534144.3125;0.008417926;Landelijk
4100-EAG-2;Noordpolder beoosten Muiden, noord;KRW Overig water;254,936;4,946;249,990;4,155;0;0;0;;M1a;sloot;;;2105.1875;243989.5;8845.4375;0.008257576;Landelijk
3360-EAG-17;Polder Maarsseveen-Westbroek, Westbroekse Zodden;NL11_6_5;2,568,271;631,452;1,936,819;133,297;0;0;0;;M27;sloot;;;20407.6875;1909655.188;638213.75;0.007946063;Landelijk
3110-EAG-1;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Meerlanden, Landbouw ZO;KRW Overig water;1,594,510;455,036;1,139,474;46,391;0;0;0;;M25;kleine plas;vijver;;12595.5625;1122834.125;459103.3125;0.007899217;Landelijk
3020-EAG-2;Noorder- of Rietpolder (De Krijgsman), Kruitfabriek eo;KRW Overig water;188,157;8,982;179,175;4,601;0;0;0;;M1a;sloot;;;1381.5;177428.5;9349.25;0.007342185;Landelijk
3350-EAG-2;Polder Breukelen-Proostdij, Beringde landen;KRW Overig water;680,693;51,909;628,784;29,584;0;0;0;;M8;sloot;;;4892.0625;621037.75;54764.3125;0.007186873;Landelijk
2510-EAG-4;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Heicop & Geer - KRW Waterlichaam;NL11_2_3;163,475;68,675;94,800;11,639;0;0;0;;M10;sloot;;;1139;93144.125;69192.3125;0.006967408;Landelijk
3302-EAG-2;Oostelijke Binnenpolder van Tienhoven, petgaten;NL11_6_5;194,270;118,142;76,129;8,669;0;0;0;;M27;sloot;;dit is een krw watertype die als plas gezien wordt, maar een afwijkend gebied binnen een krw waterlichaam;1281.8125;74847.5625;118143.8125;0.00659799;Landelijk
4210-EAG-3;Hollands Ankeveensche Polder, Ankeveensche Plassen HAP zuid;NL11_6_2;1,186,445;723,309;463,136;26,736;250,441;473,059;0;Hollandsch Ankeveensche Plas;M27;plas;;;7785.6875;454772.3125;723896.875;0.006562144;Landelijk
3360-EAG-14;Polder Maarsseveen-Westbroek, Taartpunt Zodden;NL11_6_5;460,203;127,561;332,642;19,377;124,409;3,152;0;Molenpolder;M27;plas;;;2805.5;329842.6875;127563.125;0.006096113;Landelijk
2550-EAG-4;Noorderpolder of Botshol (zuid en west), Noorderpolder (oost);KRW Overig water;650,583;110,103;540,480;24,712;103,062;7,108;0;Botshol;M8;sloot;;;3936.25;534352.3125;112301.375;0.006050278;Landelijk
3360-EAG-16;Polder Maarsseveen-Westbroek, Molenpolder Natuurreservaat;NL11_6_5;1,421,069;512,067;909,003;68,545;488,713;23,365;0;Molenpolder;M27;plas;;;7697.8125;901038.125;512332.0625;0.005416921;Landelijk
2502-EAG-2;Polder Groot Wilnis-Vinkeveen (midden), west;KRW Overig water;293,984;43,172;250,812;14,940;0;0;0;;M8;sloot;;;1533.875;247795.6875;44654.4375;0.005217546;Landelijk
3360-EAG-13;Polder Maarsseveen-Westbroek, Klein Molenpolder;NL11_6_5;299,534;131,446;168,088;13,563;0;0;0;;M27;sloot;;dit is een krw watertype die als plas gezien wordt, maar een afwijkend gebied binnen een krw waterlichaam;1455.125;166626;131452.8125;0.004857964;Landelijk
2550-EAG-1;Noorderpolder of Botshol (zuid en west), Botshol Kleine- en Groote Wije;NL11_7_1;1,128,445;739,978;388,467;26,348;170,861;569,884;0;Botshol;M27;plas;;;5248.8125;381520.8125;741687;0.00465132;Landelijk
2510-EAG-3;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Bovenland;KRW Overig water;3,802,281;616,694;3,185,587;162,035;0;0;0;;M10;sloot;;;17491.4375;3162994.25;621807.9375;0.004600233;Landelijk
3310-EAG-2;Loenderveen (GWA), Waterleidingplas;NL11_3_9;1,336,313;1,239,669;96,644;7,459;46,328;939,534;253,638;Waterleidingplas;M20;plas;;;6105.125;89881.75;1240333.25;0.00456861;Landelijk
3???-EAG-1;Oud-Zuilen, Oud-Zuilen;KRW Overig water;178,274;7,365;170,909;5,191;0;0;0;;M1a;sloot;;;8256.0625;1620490.75;206996.3125;0.004497395;Landelijk
3302-EAG-1;Oostelijke Binnenpolder van Tienhoven, overig;NL11_6_5;1,835,741;202,390;1,633,351;92,533;0;0;0;;M27;sloot;;dit is een krw watertype die als plas gezien wordt, maar een afwijkend gebied binnen een krw waterlichaam;8256.0625;1620490.75;206996.3125;0.004497395;Landelijk
4110-EAG-2;B.O.B.M.-polder en Buitendijken tussen Muiderberg en Naarden, B.O. (oost);KRW Overig water;313,695;19,882;293,813;5,299;0;0;0;;M8;sloot;;;1321.5;286188.9375;26191.1875;0.004212602;Landelijk
3360-EAG-19;Polder Maarsseveen-Westbroek, Taartpunt noord;NL11_6_5;319,266;82,198;237,068;15,026;0;0;0;;M27;sloot;;;1221.1875;234542;83505.4375;0.003824953;Landelijk
3100-EAG-1;Naardermeer, Binnezij/Spookgat;NL11_4_1;995,677;298,387;697,290;33,549;85,767;102,552;0;Naardermeer;M14;plas;;;3801.625;690775.5;301117.75;0.003818062;Landelijk
2510-EAG-5;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Bovenland - KRW Waterlichaam;NL11_2_3;245,837;95,426;150,411;10,540;0;0;0;;M10;sloot;;;884.75;149045.0625;95904.3125;0.003598971;Landelijk
3311-EAG-6;Bethunepolder,;KRW Overig water;356,786;19,657;337,129;10,130;0;0;0;;M8;sloot;;;1053.125;335796;19959.5625;0.002951512;Landelijk
3110-EAG-3;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Nog opknippen in  EAG's;KRW Overig water;980,301;252,593;727,709;32,765;0;0;0;;M25;kleine plas;vijver;;2188.4375;723211.625;254916.625;0.002232378;Landelijk
3311-EAG-2;Bethunepolder,;KRW Overig water;190,451;12,486;177,965;4,698;0;0;0;;M8;sloot;;;424.5625;174239.875;15786.9375;0.002229244;Landelijk
3100-EAG-5;Naardermeer, Wijde- of Bovenste Blik;NL11_4_1;1,199,242;326,708;872,534;13,428;297,857;0;0;Naardermeer;M14;plas;;;2545.5625;868573.75;328140.25;0.002122612;Landelijk
3100-EAG-2;Naardermeer, Groote Meer Noord;NL11_4_1;1,281,756;831,945;449,810;14,011;368,253;446,499;0;Naardermeer;M14;plas;;;2400.3125;446215.6875;833160;0.001872646;Landelijk
2150-EAG-1;Zuider Legmeerpolder, waterberging;KRW Overig water;199,577;8,160;191,417;4,850;0;0;0;;M1a;sloot;;;287.5;191007.1875;8284.0625;0.001440534;Landelijk
2540-EAG-2;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), natuurreservaat;KRW Overig water;500,307;277,496;222,811;13,052;0;0;0;;M1a;sloot;;;613.875;221615.375;278084.4375;0.00122698;Landelijk
3340-EAG-2;Polder Mijnden, Polder Mijnden oost;KRW Overig water;757,912;62,455;695,457;37,723;0;0;0;;M1a;sloot;;;618.6875;691727.9375;65568.5625;0.000816302;Landelijk
4140-EAG-4;Keverdijkse Overscheense Polder,;KRW Overig water;119,591;38,987;80,603;6,991;0;0;0;;M8;sloot;;;83.3125;79978.8125;39532.5625;0.000696624;Landelijk
3311-EAG-8;Bethunepolder,;KRW Overig water;116,098;9,628;106,470;5,106;0;0;0;;M8;sloot;;;43.3125;104010.375;12044.4375;0.000373068;Landelijk
3340-EAG-3;Polder Mijnden, Staatbosbeheer;KRW Overig water;202,639;14,255;188,384;7,070;0;0;0;;M1a;sloot;;;50.125;187821.8125;14767.5;0.000247361;Landelijk
2560-EAG-2;Noorderpolder of Botshol (Nellestein), natuurgebied;KRW Overig water;519,262;63,333;455,929;23,359;0;0;0;;M8;sloot;;;102.75;455377.625;63787.875;0.000197875;Landelijk
3311-EAG-5;Bethunepolder,;KRW Overig water;53,585;5,055;48,530;2,464;0;0;0;;M8;sloot;;;7.75;48468.4375;5109.3125;0.000144629;Landelijk
6460-EAG-2;Breukelen Noord, landelijk;KRW Overig water;187,174;19,741;167,433;8,692;0;0;0;;M1a;sloot;;;0.625;166721.125;20453.5;3.34E-06;Landelijk
2400-EAG-5;Polder de Rondehoep, weidevogel gebied;KRW Overig water;1,408,520;165,490;1,243,030;49,765;0;0;0;;M8;sloot;;;2.5;1242516.5;166007.9375;1.77E-06;Landelijk
2400-EAG-9;Polder de Rondehoep, weidevogel gebied - KRW Waterlichaam;NL11_2_5;16,474;2,428;14,046;676;0;0;0;;M10;sloot;;;0;14043.875;2435.1875;0;Landelijk
3301-EAG-2;Gansenhoef oost, Staatsbosbheer;KRW Overig water;28,342;5,217;23,125;1,184;0;0;0;;M1a;sloot;;;0;23006.375;5335.1875;0;Landelijk
3311-EAG-10;Bethunepolder,;KRW Overig water;63,416;5,430;57,986;4,572;0;0;0;;M8;sloot;;;0;57643.25;5773.4375;0;Landelijk
3311-EAG-4;Bethunepolder,;KRW Overig water;0;0;0;0;0;0;0;;M8;sloot;;;0;119736.125;0;0;Landelijk
