GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRW_SGBP3_NAAM;OPMERKING;opmerking;Opp EAG (m²);Opp water (m²);Opp land (m²);Omtrek water (m);Opp water 0-1 m diep (m²);Opp water 1-8 m diep (m²);Opp water > 8 m diep (m²);Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver?;StedelijkLandelijk;Oppervlak_bestand RUTH;Verschil;Oppervlak_Stefan;Verschil_stefan
2250-EAG-7;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Bullewijker Polder noord;20160428;;;;;;KRW Overig water;;1101914.132;100845.9986;1001068.134;43289.45678;0;0;0;158499.6875;839976.75;103454.75;0.143838099;;M30;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;1097876;-4038.13;1101931.19;17.06
2270-EAG-1;Duivendrechtsepolder noord en midden;20160428;;;;;;KRW Overig water;;2973849.924;203624.9031;2770225.021;113324.4823;0;0;0;205969.3125;2554272.438;213663.375;0.069258871;;M8;WBP 2016-2021;sloot;;Landelijk;2975955;2105.08;2973905.13;55.21
2280-EAG-1;Venserpolder, Venserpolder;20160428;;;;;;KRW Overig water;;7937362.669;405457.1946;7531905.475;85996.72399;0;0;0;4354937.313;3162481.188;408568.25;0.549450491;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;7935330;-2032.67;7925986.75;-11375.92
2290-EAG-1;Polder De Toekomst, Polder De Toekomst;20160428;;;;;;KRW Overig water;;992749.8117;60821.84457;931927.9672;24084.98512;0;0;0;265983.6875;662689.25;64095.5625;0.267921159;;M8;WBP 2016-2021;sloot;;Landelijk;993726;976.19;992768.5;18.69
2300-EAG-1;Overdiemerpolder, Overdiemerpolder;20160428;;;;;;KRW Overig water;;987582.2013;141143.6567;846438.5446;32432.87188;0;0;0;243107.9375;603327.9375;141169.5;0.246158986;;M8;WBP 2016-2021;sloot;;Landelijk;989176;1593.8;987605.38;23.18
2310-EAG-1;Gemeenschapspolder West, landelijk;20160428;;;;;;KRW Overig water;;4003650.576;337440.4235;3666210.152;154081.4107;0;0;0;548444.1875;3114956;340326.3125;0.13698343;;M8;WBP 2016-2021;sloot;;Landelijk;4043171;39520.42;4003726.5;75.92
2310-EAG-2;Gemeenschapspolder West, Driemond;20160428;;;;;;KRW Overig water;;144154.7551;4958.787941;139195.9672;3428.655015;0;0;0;64977.3125;74219.1875;4961;0.450738342;;M8;WBP 2016-2021;sloot;;Stedelijk;144145;-9.76;144157.5;2.74
2330-EAG-1;Baambrugge Oostzijds (west);20160428;;;;;;KRW Overig water;;1393604.481;103078.1077;1290526.373;50503.87362;0;0;0;135836.75;1150915.688;106869.125;0.097470327;;M8;WBP 2016-2021;sloot;;Landelijk;1393604;-0.48;1393621.56;17.08
2340-EAG-1;Polder Holland en Sticht west, bemalen;20170404;;;;;;KRW Overig water;;1857363.672;99835.60009;1757528.072;85572.15705;0;0;0;166569.25;1581081.25;109726.1875;0.089679843;;M1a;WBP 2016-2021;sloot;;Landelijk;1863705;6341.33;1857376.69;13.02
2340-EAG-2;Polder Holland en Sticht west, Loendersloot;20170404;;;;;;KRW Overig water;;391584.0641;16776.24656;374807.8175;11803.73908;0;0;0;89294.9375;284622.3125;17671.4375;0.228032475;;M1a;WBP 2016-2021;sloot;;Landelijk;392660;1075.94;391588.69;4.63
