GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRWmonitoringslocatie_SGBP3;KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701;SGBP3_NAAM;OPMERKING;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver;StedelijkLandelijk;LANDBOUWGEB;OppEAG;OppWater;OppLand;OmtrekWater;OppWater0_1m;OppWater1_8m;OppWater8m;Opp verhard;Opp onverhard;Opp water (BGT);percOpenwater;Formule_omtrekoppervlak
4000-EAG-7;'s-Gravelandsche vaartboezem, Naarden-Bussum;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;;M6a;WBP 2016-2021;canal;;Landelijk;overig;719843;129633;590211;25171;;;;136617;451945;131609;18;0.014303994
4000-EAG-8;'s-Gravelandsche vaartboezem, Zanderijvaarten;20160428;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;;M6a;WBP 2016-2021;canal;;Landelijk;overig;2578209;183703;2394506;43406;;;;223706;2180668;187089;7;0.009874346
4100-EAG-1;Noordpolder beoosten Muiden, bemalen;20170227;;;;;;;;KRW Overig water;;M8;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;kustpolder;3467566;113080;3354486;129088;;;;97762;3237246;134164;3;0.002604996
4100-EAG-2;Noordpolder beoosten Muiden, noord;20170227;;;;;;;;KRW Overig water;;M8;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;kustpolder;254936;7287;247649;8840;;;;2105;243990;8845;3;0.009656553
4110-EAG-1;B.O.B.M.-polder en Buitendijken tussen Muiderberg en Naarden, B.O. bemalen;20170314;;;;;;;;KRW Overig water;;M1a;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;kustpolder;2370792;133709;2237083;77724;;;;403673;1822395;143232;6;0.004704627
4110-EAG-2;B.O.B.M.-polder en Buitendijken tussen Muiderberg en Naarden, B.O. (oost);20170314;;;;;;;;KRW Overig water;;M1a;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;kustpolder;313695;23869;289827;13276;;;;1322;286189;26191;8;0.011637237
4120-EAG-1;Buitendijken ten Noorden van Naarden, Schapenmeent;20170307;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;kustpolder;625674;14678;610996;3968;;;;392966;218652;15021;2;0.030532459
4120-EAG-2;Buitendijken ten Noorden van Naarden, Haverland;20170307;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Landelijk;kustpolder;482430;15022;467408;9550;;;;39381;426575;15780;3;0.012833955
4130-EAG-1;Zuidpolder beoosten Muiden, Zuidpolder beoosten Muiden;20160726;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;kustpolder;2558684;227661;2331022;87384;;;;651540;1677818;229374;9;0.005460248
4140-EAG-1;Keverdijkse Overscheense Polder,;20160726;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;kustpolder;723257;38538;684719;26644;;;;170811;511610;40853;5;0.007367924
4140-EAG-2;Keverdijkse Overscheense Polder,;20160726;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;overig;586330;23437;562894;23565;;;;30288;530869;25186;4;0.006496562
4140-EAG-3;Keverdijkse Overscheense Polder,;20160726;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;kustpolder;595657;51576;544081;29275;;;;20545;521149;53832;9;0.007757592
4140-EAG-4;Keverdijkse Overscheense Polder,;20160726;;;;;;;;KRW Overig water;;M8;20180216_WSABufferzoneNaardermeerDeel1;sloot;;Landelijk;kustpolder;119591;38987;80603;6991;;;;83;79979;39533;33;0.028243636
