ident;DBID;Namespace;LokaalID;Naam;Vertaling naar doelen-model;SGBPPeriode.omschrijving;UitvoeringIn;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;Kosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);kosten;totale belasting;totale oeverlengte;belastingreductie opmerking;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;WL_naam;Effect verwacht vanaf;aangepast;gebiedsteam;;;
25;76564;NL11;NL11_0157;Vispasseerbaar maken van sluizen, gemalen en stuwen - fase 2;vis;SGBP2 2015-2021;2015-2021;IN15;;MW;NL11_1_1;4;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF5;uitgevoerd;intern onderhoud en beheer;;;246.4832668;;;;0;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
26;76529;NL11;91103;Omleiden / scheiden waterstromen Amstellandboezem;p;SGBP2 2015-2021;2015-2021;IN02;Voorheen: Aanleggen schoonwaterkering Kromme Mijdrecht. Deze maatregel wordt genomen in de Amstellandboezem, maar heeft ook positief effect voor Vaarten Zevenhoven en Tussenboezem Vinkeveen a en b. ;MW;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF1;loopt;geen;;33.38;246.4832668;0;0;mg/m2/dag;;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
27;;;;Flexibel peilbeheer in boezemwateren;nvt;SGBP2 2015-2021;niet;IM12;;MW;NL11_1_1;;;n;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF4;verlies functie;NVT;;;246.4832668;;;;;;;Amstellandboezem;nvt;LM_20190916;Amstel;;;
28;;;;Amoveren/ verbeteren zuivering Amstelveen;p;SGBP3 2021-2027;2021-2027;IM01;Verminderen belasting met nutrienten uit de RWZI.;WB;NL11_1_1;Waterschap Amstel Gooi en Vecht;opzoeken;j;Waterschap Amstel Gooi en Vecht;opzoeken;0;0;0;0;0;0;ESF1;loopt;Gemeente Amsterdam?;;33.38;246.4832668;0;5;mg/m2/dag;;;;Amstellandboezem;2027;LM_20190916;Amstel;;;
29;;;;Natuurvriendelijke dijkreconstructie (voldoende ondiep oppervlak, flauw talud, verbinding tussen land en water);areaal beter;SGBP3 2021-2027;2021-2027;IN20;Deze maatregel staat in boezemplan.;;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF4;opstarten;intern;;;246.4832668;;?;ha;;;;Amstellandboezem;2027;LM_20190916;Amstel;;;
30;;;;Beperken van scheepvaart in grote kanalen;nvt;SGBP3 2021-2027;niet;RO03;Scheepvaartluwe zones bieden kansen voor ecologische waterkwaliteit omdat hier minder bodemmateriaal opwerveld en golfslag de ontikkeling van (emerse) vegetatie niet remt. Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;;NL11_1_1;;;n;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF4;verlies functie;NVT;;;246.4832668;;;;;;;Amstellandboezem;2027;LM_20190916;Amstel;;;
31;;;;Verwijderen waterkeringen;nvt;SGBP3 2021-2027;niet;IN20;Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;;NL11_1_1;;;n;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF4;verlies functie;NVT;;;246.4832668;;;;;;;Amstellandboezem;2027;LM_20190916;Amstel;;;
32;;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;p;SGBP3 2021-2027;2021-2027;BR01;Deze maatregel leidt tot 10% reductie van fosforbelasting uit polderwater. Wij zijn regionaal uit gegaan van de goede landbouwpraktijk (GLP) in 2027. Belangrijk is verder dat als gevolg van de GLP uitgaan van een grotere diepte van sloten (toename van ca 25 cm naar 40 cm). De uitworp uit een landbouwpolder neemt daardoor 10 % af, voor een belangrijk deel als gevolg van een grotere retentie door een grotere waterdiepte (meer slootonderhoud) en een afname van meststofverliezen. ;MW;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;33.38;246.4832668;0;2.62;mg/m2/dag;;NMI, 2019;;Amstellandboezem;2027;LM_20190916;Amstel;;;
33;;;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud.;areaal beter;SGBP3 2021-2027;2021-2027;BR01;Ook communicatie richting omwonende zou helpen om de beeldvorming over natuurwaarden.;;NL11_1_1;;;;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF4;stimuleren;Gemeentes rond Amstel;;;246.4832668;;;;;;;Amstellandboezem;2027;LM_20190916;Amstel;;;
34;71356;NL11;91122;Uitvoeren maatregelen voor P-reductie rwzi Maarssen (autonoom);;SGBP1 2009-2015;2009-2015;IM01;;WB;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=5300000.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;1;0;0;ESF1;opzoeken;geen;;64.23;180.4977619;al verdisconteerd in modellen 2019;0;mg/m2/dag;;;1;Vecht;nvt;LM_20190916;Vecht;;;
35;71360;NL11;91131;Aansluiten ongerioleerde woonboten Vecht;;SGBP1 2009-2015;2009-2015;IM06;Het gaat om het aansluiten van alle ongerioleerde woonboten langs de Vecht;WB;NL11_1_2;1;n;n;Verschillende gemeenten langs de Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=6000000.00;0;0;1;0;0;0;ESF1;uitgevoerd;NVT;;;180.4977619;al verdisconteerd in modellen 2019;0;mg/m2/dag;;;1;Vecht;2016;LM_20190916;Vecht;;;
36;71375;NL11;NL11_0139;Onderzoeken verminderen belasting Vecht e.o. door RWZI Utrecht;;SGBP1 2009-2015;2009-2015;IM01;Een onderzoek naar de mogelijke maatregelen om de belasting van de Vecht vanuit de rwzi Utrecht te verminderen. Het onderzoek wordt onder regie van Hoogheemraadschap De Stichtse Rijnlanden uitgevoerd.;WB;NL11_1_2;1;n;j;opzoeken;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;uitgevoerd;NVT;;64.23;180.4977619;0;0;mg/m2/dag;;;1;Vecht;2016;LM_20190916;Vecht;;;
37;71392;NL11;NL11_0189;Uitvoeren waterbeheermaatregelen Vecht, baggeren waterbodem;;SGBP1 2009-2015;2009-2015;BE04;Het gaat om een langjarig saneringsproject waarbij de gehele Vecht op verschillende locaties wordt gebaggerd van waterkwaliteitsoverwegingenDe omvang is bij de rapportage 2013 op basis van monitoring gegevens naar boven bijgesteld van 2.000.000 m3 naar 2.500.000 m3;WB;NL11_1_2;2500000;m3;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=45000000.00;0;0;2500000;0;0;0;ESF3;uitgevoerd;NVT;;;180.4977619;;329;ha;;;1;Vecht;2016;LM_20190916;Vecht;;;
38;71358;NL11;91127;Aanleggen en onderhouden natuurvriendelijke oevers Vecht, fase 1;;SGBP1 2009-2015;2009-2015;IN08;Het gaat om zowel het aanleggen van nieuwe natuurvriendelijke oevers op locaties waar dit binnen het bestaande profiel mogelijk is als om het opknappen van bestaande natuurvriendelijke oevers.;WB;NL11_1_2;3;km;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=30000.00|Investering per planperiode=585000.00;0;0;3;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;180.4977619;;0.45;ha;;;1;Vecht;2016;LM_20190916;Vecht;;;
