GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRWmonitoringslocatie_SGBP3;KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701;SGBP3_NAAM;OPMERKING;OPPEAG;OppWater;OppLand;OmtrekWater;OppWater0_1m;OppWater1_8m;OppWater8m;Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver;StedelijkLandelijk;LANDBOUWGEB;percopenwater
2000-EAG-7;Boezem Amstelland-West, Zuid;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;NL11_Amstellandboezem;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;525199.8206;327776.986;197422.8346;40671.00504;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;veen;0.624099577
3000-EAG-2;Vechtboezem, Vecht van Muiden tot Nigtevecht;20191122;;NL11_1_2;NL11_1_2;NL11_Vecht;NL11_Vecht;NL11_Vecht;Vecht;KRW Waterlichaam;2940266.582;1622022.566;1318244.017;67381.58055;0;0;0;;;;;;M7b;;canal;;Landelijk;hoge_potentie_lb;0.551658335
3000-EAG-3;Vechtboezem, Vecht van Nigtevecht tot Maarssen;20191122;;NL11_1_2;NL11_1_2;NL11_Vecht;NL11_Vecht;NL11_Vecht;Vecht;KRW Waterlichaam;2850042.215;1454203.126;1395839.09;89075.95105;0;0;0;;;;;;M7b;;canal;;Landelijk;hoge_potentie_lb;0.510239153
3000-EAG-4;Vechtboezem, Vecht van Maarssen tot Utrecht;20191122;;NL11_1_2;NL11_1_2;NL11_Vecht;NL11_Vecht;NL11_Vecht;Vecht;KRW Waterlichaam;277443.6084;208622.1757;68821.43273;16374.06314;0;0;0;;;;;;M7b;;canal;;Landelijk;overig;0.751944429
1000-EAG-1;Stadsboezem Amsterdam, Oost;20160428;;NL11_2_1;NL11_2_1;NL11_VaartenAmsterdam;NL11_VaartenAmsterdam;NL11_VaartenAmsterdam;Vaarten Amsterdam;KRW Waterlichaam;12521549.9;1308993.072;11212556.83;111162.8823;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;overig;0.104539221
1000-EAG-2;Stadsboezem Amsterdam, West;20160428;;NL11_2_1;NL11_2_1;NL11_VaartenAmsterdam;NL11_VaartenAmsterdam;NL11_VaartenAmsterdam;Vaarten Amsterdam;KRW Waterlichaam;2281304.728;255437.3738;2025867.354;16067.38065;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;overig;0.111969861
2010-EAG-1;Diemerpolder, Diemen-Noord;20160428;;;;;;;;KRW Overig water;1601070.742;144598.4101;1456472.332;43475.64318;0;0;0;;;;;;M8;WBP 2016-2021;sloot;;Stedelijk;overig;0.090313567
2010-EAG-2;Diemerpolder, Diemen;20160428;;;;;;;;KRW Overig water;1730320.311;98763.196;1631557.115;30532.90994;0;0;0;;;;;;M8;WBP 2016-2021;sloot;;Stedelijk;overig;0.057077985
2020-EAG-1;Flevopark, Flevopark;20160428;;;;;;;;KRW Overig water;442817.3115;39589.78514;403227.5263;8298.332805;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;park;0.08940433
2030-EAG-1;Sarphatipark, Sarphatipark;20160428;;;;;;;;KRW Overig water;42113.82449;5366.854079;36746.97041;740.6069101;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;park;0.127436872
2040-EAG-1;Oosterpark, Oosterpark;20160428;;;;;;;;KRW Overig water;109532.2578;14752.71927;94779.53849;1288.607126;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;park;0.134688352
2050-EAG-1;Atekpolder, Atekpolder;20160428;;;;;;;;KRW Overig water;25879.03547;804.844985;25074.19048;614.4012796;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;0.03110027
2100-EAG-1;Binnendijkse Buitenvelderse Polder, Binnendijkse Buitenvelderse Polder;20170322;;;;;;;;KRW Overig water;5556130.023;388083.8282;5168046.195;51009.21318;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;overig;0.069847867
2110-EAG-1;Middelpolder onder Amstelveen, bemalen gebied;20170315;;NL11_2_6;;NL11_VaartenWesteramstel;;;;KRW Overig water;1201183.47;126127.6452;1075055.825;41765.9699;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;overig;0.105002815
2110-EAG-2;Middelpolder onder Amstelveen, Amsterdamse Bos;20170315;;;;;;;;KRW Overig water;709243.8627;74628.84991;634615.0128;14240.43466;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;overig;0.105223117
2110-EAG-3;Middelpolder onder Amstelveen, Bovenland;20170315;;;;;;;;KRW Overig water;1891874.846;231214.2205;1660660.625;79963.4067;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;veen;0.122214332
2110-EAG-4;Middelpolder onder Amstelveen, Natuurgebied;20170315;;;;;;;;KRW Overig water;325132.9906;72650.35214;252482.6385;14748.46786;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;overig;0.22344811
2110-EAG-5;Middelpolder onder Amstelveen, bebouwd gebied Amstelveen;20170315;;;;;;;;KRW Overig water;4689417.55;233595.6558;4455821.894;40702.64104;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Stedelijk;overig;0.049813362
2110-EAG-6;Middelpolder onder Amstelveen, landelijk en sportpark;20170315;;;;;;;;KRW Overig water;1439378.371;147714.5507;1291663.82;53706.23537;0;0;0;;;;;;M10;WBP 2016-2021;sloot;vijver;Landelijk;overig;0.10262385
2110-EAG-7;Middelpolder onder Amstelveen, zuid;20170315;;;;;;;;KRW Overig water;270489.1664;21616.15335;248873.0131;6976.56208;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Stedelijk;overig;0.079915043
2110-EAG-8;Middelpolder onder Amstelveen, bemalen gebied - KRW Waterlichaam;;20191205;NL11_2_6;;NL11_VaartenWesteramstel;;;;KRW Waterlichaam;63365;15335;48030;3281;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;0;0.242010574
1000-EAG-3;Stadsboezem Amsterdam, stad;20160428;;NL11_2_1;NL11_2_1;NL11_VaartenAmsterdam;NL11_VaartenAmsterdam;NL11_VaartenAmsterdam;Vaarten Amsterdam;KRW Waterlichaam;374118.8901;81540.26466;292578.6254;6323.677635;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;overig;0.217952813
2120-EAG-2;Bovenkerkerpolder, Amsteldijk Zuid;20160428;;;;;;;;KRW Overig water;1517749.943;177202.346;1340547.597;63080.41664;0;0;0;;;;;;M8;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;veen;0.116753321
2120-EAG-3;Bovenkerkerpolder, Amstelveen;20160428;;;;;;;;KRW Overig water;5196670.441;280647.5081;4916022.933;61969.56282;0;0;0;;;;;;M3;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;droogmakerij;0.054005254
2120-EAG-4;Bovenkerkerpolder, landelijk- KRW Waterlichaam;;20191205;NL11_2_6;;NL11_VaartenWesteramstel;;;;KRW Waterlichaam;121173;48490;72683;10887;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;0;0.400171655
1000-EAG-4;Stadsboezem Amsterdam, Zeeburg;20160428;;NL11_2_1;NL11_2_1;NL11_VaartenAmsterdam;NL11_VaartenAmsterdam;NL11_VaartenAmsterdam;Vaarten Amsterdam;KRW Waterlichaam;574656.7871;181247.5712;393409.2158;10020.2173;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;overig;0.315401428
2130-EAG-2;Noorder Legmeerpolder, Bovenkerk;20160428;;;;;;;;KRW Overig water;3551819.79;249119.0559;3302700.734;60376.95747;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;0.070138428
